mlat_n,tec_n,tec_min_n,tec_max_n,tec_q25_n,tec_q75_n,tec_std_n,mlat_s,tec_s,tec_min_s,tec_max_s,tec_q25_s,tec_q75_s,tec_std_s,mlt,asy
14.5,58.89962428411483,33.1,100.7,46.05,71.75,16.107073326371907,-0.5,,36.1,66.4,43.0,51.2,16.107073326371907,13.125,
15.5,59.04734856337113,31.7,106.0,44.775,71.9,17.949128340128773,-0.5,,35.8,66.4,42.525,51.175000000000004,17.949128340128773,13.375,
14.5,59.057468743794146,34.4,109.8,47.025,68.675,15.005350164953002,-0.5,,36.5,68.8,43.5,54.4,15.005350164953002,13.625,
13.5,60.003695896484324,33.4,109.4,48.9,68.7,14.375659494696961,-0.5,,35.0,70.9,43.4,54.625,14.375659494696961,13.875,
13.5,62.204558591006226,35.8,104.6,48.650000000000006,72.45,16.517908579893493,-0.5,,31.9,71.4,43.9,54.2,16.517908579893493,14.125,
13.5,63.06406246561746,35.0,106.4,49.9,77.1,16.646379831547453,-2.5,,24.1,70.1,43.849999999999994,52.9,16.646379831547453,14.375,
13.5,62.99027261956528,33.6,106.8,51.7,74.0,14.924132754776402,-8.5,49.28426619485994,29.6,70.0,43.8,53.5,14.924132754776402,14.625,24.41516406023192
13.5,62.87129908396589,36.1,96.0,51.475,75.42500000000001,13.828067676306944,-8.5,49.78898231656756,3.2,70.0,43.9,55.2,13.828067676306944,14.875,23.224363732747396
13.5,62.84249678386733,32.8,100.6,52.45,73.85,14.408429250799806,-10.5,50.472205128103106,11.9,78.9,43.4,57.349999999999994,14.408429250799806,15.125,21.83351576986753
14.5,63.402432817010066,34.1,108.2,52.875,76.825,16.30438079629908,-10.5,51.1935971789097,15.3,80.7,43.25,57.9,16.30438079629908,15.375,21.30760662221033
14.5,63.10350610667582,34.4,104.4,52.7,76.4,16.517082063360984,-10.5,51.74273395054918,17.1,86.4,43.1,58.6,16.517082063360984,15.625,19.784317101658452
14.5,62.66789970404427,31.9,107.6,50.4,74.3,15.936149818364061,-10.5,51.8785553570976,17.5,82.4,43.1,58.0,15.936149818364061,15.875,18.8383732018378
14.5,61.99285000967947,30.9,106.8,49.6,75.95,15.962771435315089,-10.5,51.80539366111506,26.6,86.7,42.5,58.1,15.962771435315089,16.125,17.904417537471968
13.5,60.653786020719835,32.1,92.3,50.9,71.7,13.08103548678462,-11.5,51.557293238844636,14.5,82.8,43.4,59.675000000000004,13.08103548678462,16.375,16.213181161609487
13.5,59.63289966849523,30.2,92.1,51.6,70.2,12.783771200405948,-10.5,50.9156533377045,26.1,79.3,42.6,57.9,12.783771200405948,16.625,15.770891782367976
13.5,58.35005630620306,32.7,93.0,50.7,68.8,12.55885528161697,-11.5,49.88507000141354,16.5,80.9,40.9,58.1,12.55885528161697,16.875,15.641846771132435
13.5,57.711678962211806,30.5,94.7,50.75,67.3,12.415535209752107,-12.5,49.244362996056445,9.8,78.4,39.1,57.9,12.415535209752107,17.125,15.83326348119559
12.5,57.173506020618895,32.3,88.5,50.9,64.1,11.22796365604365,-12.5,48.49997888908837,10.2,84.0,38.824999999999996,57.4,11.22796365604365,17.375,16.41571135643274
13.5,56.257197480751,30.9,94.8,47.4,65.2,14.26833199674485,-12.5,47.8122988305378,11.4,86.8,37.8,56.9,14.26833199674485,17.625,16.22934471586782
13.5,55.73773433185794,29.1,93.8,46.0,65.9,13.602298558154173,-13.5,47.18076177031513,11.8,100.1,35.5,56.5,13.602298558154173,17.875,16.628638943670182
13.5,54.51554120529778,27.2,86.3,44.525,64.675,13.152311773365499,-13.5,46.382965524621284,7.4,92.4,35.849999999999994,57.349999999999994,13.152311773365499,18.125,16.1203092974318
14.5,53.190438042844775,21.6,99.5,39.0,64.55,15.1309951771102,-14.5,45.208565003726804,2.7,92.8,31.0,56.1,15.1309951771102,18.375,16.223483555702703
14.5,52.009779583533714,21.8,95.1,38.525,60.9,14.184193909955857,-14.5,44.01648003877998,1.2,95.1,31.6,55.8,14.184193909955857,18.625,16.648153486749628
14.5,51.04393267963578,21.4,95.8,39.75,59.8,13.832918958385623,-14.5,42.783374885653984,1.0,97.7,33.349999999999994,55.1,13.832918958385623,18.875,17.608003487116335
14.5,49.73848732407178,18.0,95.5,38.075,60.35,17.589681404350202,-14.5,41.96931456167895,2.3,85.1,35.3,54.7,17.589681404350202,19.125,16.943319112743836
14.5,47.19087942540887,13.4,92.2,34.3,55.5,15.907961544790824,-14.5,41.49471848848954,5.0,81.8,34.6,53.150000000000006,15.907961544790824,19.375,12.845740618334732
14.5,44.93797091320531,15.3,93.7,34.2,55.324999999999996,14.027031995941632,-13.5,41.2313636570175,10.4,78.2,33.125,49.4,14.027031995941632,19.625,8.60307735849381
14.5,43.28664784532592,14.8,84.1,31.75,52.2,14.61903258087657,-13.5,40.42840397753885,10.6,78.2,31.3,47.2,14.61903258087657,19.875,6.828506476553152
13.5,42.31884211280612,18.3,83.9,32.125,49.95,12.019374041039178,-13.5,39.524293535466235,9.5,75.8,29.7,47.225,12.019374041039178,20.125,6.829035948352921
13.5,41.50269343010923,17.1,74.7,32.6,51.5,13.325725908593093,-13.5,39.033081422356936,0.8,76.2,28.5,47.2,13.325725908593093,20.375,6.132956471273515
13.5,41.21331207583166,9.3,82.8,30.5,51.275,15.742773876729098,-13.5,37.89065107360955,1.1,73.3,27.525,46.475,15.742773876729098,20.625,8.400744716026491
13.5,42.4448008794521,14.1,84.8,29.2,53.65,17.332978764894772,-12.5,36.247281585284185,4.1,81.5,28.6,43.349999999999994,17.332978764894772,20.875,15.751316015674558
13.5,41.945863567523986,13.9,89.8,31.45,52.75,15.602954471685793,-12.5,34.86112430947802,2.9,69.5,26.1,42.2,15.602954471685793,21.125,18.448163256685447
13.5,39.64168323169208,11.4,82.5,30.175,48.425,14.182871683164937,-12.5,33.78654509759751,2.7,67.2,26.325,41.5,14.182871683164937,21.375,15.947921575438656
13.5,37.05484084870295,8.9,82.1,27.575000000000003,44.8,12.5501461169953,-12.5,32.19436574447004,3.2,66.7,24.5,40.1,12.5501461169953,21.625,14.037634056336136
12.5,34.58365446844044,7.9,70.5,28.2,41.725,11.433268692659608,-11.5,30.588828933873103,0.2,72.6,22.8,37.0,11.433268692659608,21.875,12.259239869400247
12.5,32.16333696456297,6.7,65.1,25.05,38.55,10.515005458294604,-11.5,28.831533356246005,1.0,71.8,21.6,34.7,10.515005458294604,22.125,10.924864962555025
10.5,30.411080779584097,10.4,54.4,24.9,36.0,8.343052353522037,-11.5,27.395135003411653,0.3,68.8,20.2,33.025,8.343052353522037,22.375,10.434676393605454
9.5,29.302210047342637,12.3,52.6,26.15,35.9,7.215265221121824,-11.5,26.21426945892923,0.1,65.5,19.675,31.125,7.215265221121824,22.625,11.124410682649833
9.5,28.099559776488697,10.2,46.5,23.25,34.0,7.168941917289498,-10.5,24.88097078783648,5.0,54.6,19.6,29.2,7.168941917289498,22.875,12.150082131565055
9.5,26.99628825372833,8.9,45.2,22.85,32.650000000000006,7.071061300750314,-10.5,24.460677113521207,4.8,53.2,19.9,28.9,7.071061300750314,23.125,9.855268852760394
9.5,25.464832777592758,9.6,43.3,21.7,30.825,7.22210425860767,-10.5,23.893286841696447,4.5,123.4,19.2,28.0,7.22210425860767,23.375,6.367932765745591
10.5,23.62917947189897,6.6,47.1,19.1,29.625,7.5783838573027245,-10.5,23.311564178513116,2.0,58.8,18.9,27.6,7.5783838573027245,23.625,1.353260594895003
11.5,22.548555750522198,4.8,48.4,17.1,28.8,7.907090590337504,-10.5,22.611932821132747,1.0,53.4,18.2,26.8,7.907090590337504,23.875,-0.28067486696912375
