mlat_n,tec_n,tec_min_n,tec_max_n,tec_q25_n,tec_q75_n,tec_std_n,mlat_s,tec_s,tec_min_s,tec_max_s,tec_q25_s,tec_q75_s,tec_std_s,mlt,asy
10.5,24.130887860423194,11.4,42.4,19.3,26.6,6.381960123856866,-12.5,21.894905491926615,5.2,37.3,17.4,27.424999999999997,6.381960123856866,13.125,9.716214346938237
10.5,25.583855443089778,13.4,45.0,20.4,30.8,7.243450876080031,-12.5,22.17132166464747,6.3,37.0,17.775,27.6,7.243450876080031,13.375,14.291785666477674
10.5,26.588655343370803,16.0,47.1,21.150000000000002,32.125,7.246150505120436,-12.5,22.12783825759431,2.6,38.2,17.424999999999997,28.475,7.246150505120436,13.625,18.313375023723474
10.5,26.968096530428223,16.3,47.3,22.25,31.55,6.132158208140328,-12.5,22.22591858130164,0.6,39.8,18.5,28.2,6.132158208140328,13.875,19.279491370468975
10.5,26.96972194127793,15.4,39.3,25.725,31.675,5.20058626840994,-12.5,22.417103986834462,9.9,39.7,18.9,28.5,5.20058626840994,14.125,18.436568331280373
10.5,26.803753874683093,12.6,37.1,23.75,30.15,5.083763927493818,-12.5,22.896266723808758,9.3,38.4,19.1,28.9,5.083763927493818,14.375,15.724287852681124
11.5,26.993729952441733,12.3,39.2,22.4,29.6,5.620625416857838,-12.5,22.972092593866673,9.2,40.7,19.4,29.3,5.620625416857838,14.625,16.09755290167714
11.5,26.988739339784097,12.8,37.5,23.9,29.7,5.012854048379458,-12.5,23.01855693286191,10.9,43.7,20.075000000000003,29.4,5.012854048379458,14.875,15.878412563143824
11.5,26.6242844768794,13.7,37.5,23.2,30.15,4.924306348753789,-12.5,22.627929363221817,10.4,41.2,19.075000000000003,27.1,4.924306348753789,15.125,16.22812378193544
12.5,26.74952135716858,12.7,44.2,23.2,30.525,5.761708235379412,-12.5,22.139332376329925,0.6,40.9,19.0,27.2,5.761708235379412,15.375,18.85987757442456
11.5,26.792810577574983,14.6,43.2,23.700000000000003,31.45,5.4724725843125395,-12.5,22.242969143429665,8.4,37.9,18.325,27.9,5.4724725843125395,15.625,18.55723090376955
11.5,27.05145923717128,15.7,40.9,23.6,30.049999999999997,4.8881718488531485,-12.5,21.890920747633846,8.3,37.7,18.2,29.0,4.8881718488531485,15.875,21.088220438563052
11.5,27.02415814188872,14.2,37.5,22.275,29.125,5.320542099873412,-12.5,21.84932661634675,7.2,39.6,18.15,27.75,5.320542099873412,16.125,21.17643769884847
11.5,26.797526584826613,14.2,43.4,21.0,29.424999999999997,5.851332841586148,-12.5,21.855702331645197,8.1,40.8,18.4,26.8,5.851332841586148,16.375,20.314475989519924
11.5,26.769514848708763,13.7,42.6,21.2,29.700000000000003,5.60304385104712,-12.5,21.5528398248082,6.6,39.5,17.15,27.65,5.60304385104712,16.625,21.591145792237477
11.5,26.499023283029253,12.9,38.0,21.825,29.15,5.328662328996276,-12.5,21.631502373734307,5.3,40.0,15.9,29.0,5.328662328996276,16.875,20.226335959873047
11.5,26.09232389565907,12.7,37.5,21.7,29.2,5.318788550409256,-12.5,21.164261592121893,5.7,40.5,16.25,26.85,5.318788550409256,17.125,20.856616078668726
11.5,25.16482462450455,13.5,40.0,21.375,28.725,5.02384238783896,-12.5,20.339519529432213,6.0,36.2,16.65,25.95,5.02384238783896,17.375,21.208107422661893
11.5,24.12979422878102,12.1,34.7,19.3,26.4,4.827827214185589,-12.5,19.33602828514082,5.6,35.6,15.2,25.05,4.827827214185589,17.625,22.05763363665687
11.5,22.571546370138933,10.9,32.7,18.7,26.4,5.226110404704469,-12.5,18.78905852732331,5.3,37.3,15.8,24.9,5.226110404704469,17.875,18.290292669523822
9.5,21.433628766031163,10.6,28.0,18.9,24.65,4.2157085375156615,-12.5,17.831550118304946,6.0,38.4,13.1,22.2,4.2157085375156615,18.125,18.347445497889623
9.5,20.429390019180314,10.3,26.2,18.1,22.5,3.5390086772403397,-12.5,16.786834214878496,5.2,38.2,12.225,20.675,3.5390086772403397,18.375,19.57509596563692
9.5,19.341844329433954,11.5,33.1,17.45,22.05,3.950918730196302,-12.5,15.478059888109854,4.7,33.5,12.1,20.4,3.950918730196302,18.625,22.192964214860503
9.5,17.744614203014294,9.1,32.5,14.8,20.3,4.2900433117058565,-12.5,14.276856103798194,4.1,31.1,10.75,17.7,4.2900433117058565,18.875,21.658956106574177
9.5,16.215327834362828,8.7,31.6,13.575,18.424999999999997,3.777333377259452,-12.5,13.017832067384987,3.2,29.9,9.2,15.7,3.777333377259452,19.125,21.875813478423638
9.5,14.915869050121367,7.2,27.9,12.7,17.95,4.0260596702646465,-12.5,11.945525036176063,1.8,29.4,8.3,13.9,4.0260596702646465,19.375,22.116082318009997
9.5,13.594728277160707,7.5,26.8,11.2,16.775,3.978130779606791,-13.5,10.977419254252498,0.9,27.6,7.175,13.525,3.978130779606791,19.625,21.30305476606978
