mlat_n,tec_n,tec_min_n,tec_max_n,tec_q25_n,tec_q75_n,tec_std_n,mlat_s,tec_s,tec_min_s,tec_max_s,tec_q25_s,tec_q75_s,tec_std_s,mlt,asy
12.5,39.886994274606636,19.3,58.9,35.150000000000006,46.55,8.851490922283002,-13.5,36.7714202993511,10.2,56.115,30.55,44.199749999999995,8.851490922283002,13.125,8.12845919804335
12.5,41.53043053324718,21.5,63.5,37.0,46.5,7.392479067909299,-13.5,36.81882438002223,9.8,58.4,30.2,44.824999999999996,7.392479067909299,13.375,12.027188154987753
13.5,43.04795549152815,22.2,64.9,41.375,53.925,9.280975895250693,-13.5,36.24830141347347,10.7,59.3,31.975,44.225,9.280975895250693,13.625,17.15000012220196
13.5,44.145102555778415,28.7,65.7,41.7896,51.025,7.651606607644161,-13.5,34.93715471493598,12.5,57.1,29.7,42.5,7.651606607644161,13.875,23.287013190131354
12.5,44.08649805885796,20.5,58.4,35.45,48.55,8.448802697934187,-13.5,34.66551747083748,12.6,59.1,31.05,42.425,8.448802697934187,14.125,23.925687551369563
12.5,43.49184305338013,27.7,66.4,36.125,47.05,7.768839698973066,-13.5,35.445131524832135,11.3,57.8,33.1,42.475,7.768839698973066,14.375,20.387686686864743
12.5,42.641285618163025,18.6,68.3,34.824999999999996,45.8974,9.146427578220392,-13.5,34.82070781334434,10.8,61.7,31.5,42.5,9.146427578220392,14.625,20.192038594342947
12.5,42.01977469458479,22.7,67.5,37.5,46.725,8.44126400520889,-13.5,33.52149449136427,14.8,66.2,26.975,42.25,8.44126400520889,14.875,22.499701937232548
12.5,41.29045030144983,22.8,67.6,36.9,45.05045,7.958460014242585,-13.5,33.00408584293975,12.0,57.3,25.975,40.45,7.958460014242585,15.125,22.306793712005245
11.5,39.888789785136076,16.7,57.8,33.7,44.25,7.864108761747626,-13.5,32.877022945632724,11.0,55.2,26.7,43.5,7.864108761747626,15.375,19.272146015730403
