mlat_n,tec_n,mlat_s,tec_s,mlt,asy
12.5,36.92689987407637,-11.5,31.667543547661708,13.125,15.334642469736645
12.5,38.16918504938384,-11.5,32.19624408155359,13.375,16.97691903993276
11.5,39.56897939865682,-12.5,32.92197005908572,13.625,18.338866822115133
11.5,40.53920879321429,-12.5,33.21113711705814,13.875,19.872643540063578
11.5,40.930249448991766,-12.5,33.215477946388454,14.125,20.809753369778107
11.5,41.05804612217273,-13.5,33.87740881994892,14.375,19.164859432080494
11.5,40.59399404755441,-13.5,35.10123446810482,14.625,14.512829109996785
11.5,39.901168626563006,-13.5,35.73076973608305,14.875,11.028142292171324
9.5,38.71771275969245,-13.5,35.15582221719142,15.125,9.643211316787808
9.5,38.09273068138992,-12.5,34.72803609196646,15.375,9.24103037776452
10.5,37.33500882793997,-11.5,33.950995873411244,15.625,9.494186043125474
10.5,36.66024299142211,-10.5,33.00307071442342,15.875,10.499564498011553
10.5,36.23207323536634,-9.5,31.970964176309487,16.125,12.495364490401382
10.5,35.39815080257235,-9.5,31.161430179507953,16.375,12.730610861883411
9.5,35.12821213913204,-10.5,30.884020193047593,16.625,12.858804485590731
9.5,34.2303704089681,-10.5,30.73034419512145,16.875,10.775824235241119
9.5,33.70925710127444,-11.5,30.653665101928848,17.125,9.49488275158991
9.5,32.627763624636124,-12.5,30.47565922394294,17.375,6.820880083976754
9.5,31.137029656928977,-12.5,30.074707990335778,17.625,3.4709737296296765
9.5,29.884669033149233,-11.5,28.37127164460517,17.875,5.195684323133656
9.5,29.01130654749428,-10.5,26.912090062742212,18.125,7.5074713339848
9.5,27.54942722191292,-10.5,25.496191115840546,18.375,7.741397575946637
9.5,26.041891137601326,-9.5,24.068280444339276,18.625,7.877086152198793
9.5,24.635236563234372,-9.5,23.217609782929536,18.875,5.924942353689183
10.5,23.53067414739301,-10.5,22.998177796453852,19.125,2.2888866958583014
11.5,22.69435054676381,-11.5,23.455032290591554,19.375,-3.2966063555329406
11.5,22.273160635424016,-11.5,23.609601991686315,19.625,-5.825461588368472
11.5,21.450852582237655,-11.5,22.47789592005765,19.875,-4.675950819615692
11.5,20.357271712350197,-11.5,22.20756066896966,20.125,-8.69397976265254
11.5,19.759876221791806,-11.5,21.95755079330909,20.375,-10.536002475520684
11.5,19.100918443350245,-11.5,20.873972546426856,20.625,-8.870838965039525
11.5,18.20126024950508,-11.5,20.120646643639297,20.875,-10.017175812707734
10.5,17.88110963648764,-10.5,19.513760414001855,21.125,-8.731950533909362
9.5,17.642191786828356,-9.5,18.26298185542147,21.375,-3.4579421605282294
9.5,17.346108020070737,-9.5,16.68073748078469,21.625,3.910856439920772
9.5,16.51659815549039,-8.5,15.598382589246633,21.875,5.7183005871441
8.5,16.165761476006907,-8.5,14.89191723907192,22.125,8.203087221174203
8.5,16.151483304788023,-8.5,14.265071582109616,22.375,12.403848691562404
8.5,16.121272677456766,-7.5,,22.625,
7.5,,-0.5,,22.875,
6.5,,-0.5,,23.125,
5.5,,-0.5,,23.375,
4.5,,-0.5,,23.625,
3.5,,-0.5,,23.875,
