mlat_n,tec_n,tec_min_n,tec_max_n,tec_q25_n,tec_q75_n,tec_std_n,mlat_s,tec_s,tec_min_s,tec_max_s,tec_q25_s,tec_q75_s,tec_std_s,mlt,asy
12.5,42.76130724319637,22.9,73.9,35.95,47.5,10.408737602367935,-13.5,37.48836157323148,17.4,77.5,30.35,43.150000000000006,10.408737602367935,13.125,13.141351852870125
12.5,43.90299759941772,23.6,75.5,37.55,50.4,11.302567553826016,-13.5,36.819090069670395,18.6,71.1,31.65,44.95,11.302567553826016,13.375,17.5513486687487
12.5,44.43629485468563,24.4,74.2,37.849999999999994,50.4,10.456884050869588,-13.5,36.40215529056439,19.3,60.2,30.475,45.725,10.456884050869588,13.625,19.877025226697317
12.5,45.30137838992393,27.5,76.0,38.275,52.925,11.007276866210255,-13.5,36.93138494588503,20.8,64.7,30.9,44.65,11.007276866210255,13.875,20.356833710813945
12.5,46.79382537028683,29.3,77.0,41.5,52.3,9.207516483526799,-13.5,37.79481250821416,12.6,70.1,32.475,47.324999999999996,9.207516483526799,14.125,21.277119688340225
11.5,47.53022492446262,30.2,74.3,44.1,54.35,8.304864870409347,-12.5,38.42640726781438,8.2,66.5,32.725,44.5,8.304864870409347,14.375,21.18235073771584
11.5,47.4558443782985,31.8,70.4,42.7,53.9,8.362183720151908,-12.5,38.343309543627825,14.7,57.9,33.1,44.675000000000004,8.362183720151908,14.625,21.241549404934005
11.5,47.149385197955645,31.0,69.3,40.6,52.775000000000006,8.618662401374065,-12.5,38.273138562913815,17.5,59.2,32.5,45.6,8.618662401374065,14.875,20.781981716882687
11.5,46.503749560683325,25.7,67.8,39.824999999999996,52.675000000000004,8.814194189313614,-13.5,39.39594661136063,16.8,72.1,31.975,47.225,8.814194189313614,15.125,16.549075878189033
11.5,45.40971962702654,23.1,67.6,38.2,52.2,9.37461315962005,-14.5,39.599502139110356,16.8,77.3,29.55,45.800000000000004,9.37461315962005,15.375,13.669616936149065
11.5,43.676823258458505,21.0,68.1,36.925,50.9,9.624412063559078,-14.5,39.49407975545781,16.8,71.0,30.775,45.2,9.624412063559078,15.625,10.05818946633495
11.5,42.25278158445368,18.5,63.5,35.2,47.25,9.02114069949101,-13.5,38.93604495649397,17.1,69.6,30.700000000000003,49.6,9.02114069949101,15.875,8.170426324087607
11.5,41.78242641559547,18.0,62.2,34.1,46.5,8.572007537439548,-13.5,38.75978394446776,16.9,72.1,32.0,53.3,8.572007537439548,16.125,7.505735086273416
11.5,41.23864690810582,18.6,61.7,34.6,46.8,8.569776659199642,-12.5,37.404936989154145,9.5,67.4,31.3,44.8,8.569776659199642,16.375,9.749580904044349
11.5,40.77834928647418,20.9,60.9,34.0,46.1,8.140225055113042,-12.5,36.258085572655915,12.3,64.0,31.475,45.525,8.140225055113042,16.625,11.735391758676487
11.5,40.15104156073048,18.4,61.9,34.5,46.0,8.201895222294182,-12.5,34.65183750460531,9.6,62.6,30.375,42.9,8.201895222294182,16.875,14.703188232426037
11.5,39.48910231809804,17.6,61.1,34.5,44.7,7.9252211856665244,-11.5,33.272319589345734,11.7,66.4,26.5,40.8,7.9252211856665244,17.125,17.088128752240085
11.5,38.66698634091908,17.0,61.4,33.8,45.125,8.3471201726375,-11.5,32.717358965900864,11.2,70.7,26.2,39.6,8.3471201726375,17.375,16.66927769511896
11.5,38.15719274241494,15.3,62.7,34.0,45.5,9.229939482921589,-11.5,31.81653780441661,10.0,63.1,25.325,38.150000000000006,9.229939482921589,17.625,18.122958111414977
11.5,37.74451300442659,17.4,63.4,33.2,45.2,9.344369303866946,-12.5,31.976110460839497,9.5,67.6,25.3,36.725,9.344369303866946,17.875,16.547191510588924
11.5,36.30406311739463,16.6,60.5,29.825,43.25,10.039273427241003,-13.5,31.791763349588898,12.1,62.5,27.55,42.55,10.039273427241003,18.125,13.252793899178334
11.5,34.84764711774956,12.3,59.9,27.2,42.0,10.006466719582406,-12.5,30.562413994999698,8.1,59.6,21.75,35.1,10.006466719582406,18.375,13.10267273826049
12.5,33.435329166104225,13.2,62.4,26.6,41.1,11.136800296562582,-12.5,28.73449197236069,8.1,59.1,20.1,33.6,11.136800296562582,18.625,15.122569464286567
12.5,31.609781394701763,8.9,61.7,23.3,37.7,10.4590278725126,-12.5,26.840642106055626,1.6,56.7,18.5,31.549999999999997,10.4590278725126,18.875,16.31857907268829
11.5,29.466495805081596,12.3,51.4,22.1,34.675000000000004,8.098542336326576,-12.5,25.38926329154923,7.1,50.2,18.0,31.8,8.098542336326576,19.125,14.865285179447218
12.5,26.93556479200266,8.2,51.7,19.9,33.1,8.627735594763472,-10.5,23.83851489089072,5.7,52.6,18.1,28.7,8.627735594763472,19.375,12.199334465358648
