mlt,mlat_n,tec_n,mlat_s,tec_s,asy
13.125,9.0,73.04176096491227,-3.0,,
13.375,9.0,73.92370553097345,-2.0,,
13.625,11.0,74.19914655913978,-2.0,,
13.875,11.0,75.75560386571719,-2.0,,
14.125,12.0,76.44535134854772,-2.0,,
14.375,12.0,75.44821214528943,-13.0,72.87588380681818,3.4685238726172063
14.625,15.0,74.89559714576961,-12.0,74.27129267116682,0.8370550265799149
14.875,15.0,74.86699774678111,-12.0,74.63234536390827,0.31391761059324685
15.125,12.0,73.90899486301369,-12.0,74.35951794117646,-0.6077124126249986
15.375,15.0,74.09326380638063,-12.0,75.13277497656982,-1.3932034632389554
15.625,15.0,72.50631590656285,-11.0,74.80259840375588,-3.117642279754665
15.875,15.0,70.32020643340859,-11.0,72.65888955938698,-3.2713637049380044
16.125,11.0,70.55629534005038,-11.0,70.95900378109454,-0.5691376742233557
16.375,11.0,69.70819155446756,-12.0,70.5987449334698,-1.269435996956295
16.625,14.0,68.11968048780489,-11.0,71.06590831643003,-4.2335242519525815
16.875,12.0,67.83465422885573,-12.0,72.5706263681592,-6.746145328958745
17.125,12.0,67.5909740430622,-12.0,72.82734623552125,-7.458246448284417
17.375,12.0,66.06321399747793,-12.0,72.7620600193611,-9.650758580272095
17.625,13.0,64.70271423444976,-13.0,73.03494689213893,-12.098699207664609
17.875,13.0,63.33350576701269,-13.0,71.50415245597776,-12.11923552610607
18.125,14.0,60.23102448087432,-13.0,70.00040547945206,-15.003107931094476
18.375,15.0,56.84166174917127,-13.0,66.34528014981274,-15.429587347715216
18.625,15.0,54.880322279792736,-13.0,64.92994209558823,-16.7758912279982
18.875,15.0,53.955580466148724,-14.0,64.24573855526545,-17.41124071086294
19.125,16.0,54.870390918803416,-14.0,65.71497582697201,-17.986568687113973
19.375,16.0,56.68889452830188,-14.0,65.4571246031746,-14.356964127393638
19.625,16.0,57.1148972279496,-15.0,65.51158796296296,-13.694742570401285
19.875,16.0,57.63417448275862,-15.0,65.40749440337909,-12.635264119854996
20.125,16.0,59.0226997359357,-15.0,65.62172095933263,-10.58855452428195
20.375,16.0,58.572568134831464,-15.0,66.42058880753137,-12.557520531014044
20.625,16.0,60.99292517647059,-15.0,65.82188580299785,-7.615767573566908
20.875,15.0,58.377600336787566,-15.0,64.29189681867535,-9.642652198031618
21.125,15.0,56.55863082446809,-14.0,62.778898093076045,-10.42466242602665
21.375,14.0,54.99277664987406,-14.0,61.57030898876405,-11.285789669778062
21.625,15.0,52.907781892901625,-14.0,60.50326570957096,-13.394610097056788
21.875,15.0,51.24239002522068,-14.0,58.03134137711864,-12.425587128349177
22.125,14.0,48.85683843312102,-14.0,57.29491992277992,-15.898147370047457
22.375,13.0,47.72143033112583,-14.0,55.47503684517304,-15.026883625388246
22.625,13.0,46.73767784391534,-14.0,54.22732986678508,-14.83613420667519
22.875,13.0,46.384618716577535,-13.0,51.89939416904083,-11.222121056211494
