mlt,mlat_n,tec_n,mlat_s,tec_s,asy
13.125,13.0,59.163636363636364,-2.0,,
13.375,14.0,60.7530408773679,-2.0,,
13.625,13.0,62.11109877913429,-2.0,,
13.875,13.0,63.483812566560175,-2.0,,
14.125,14.0,65.28431771894094,-2.0,,
14.375,14.0,65.991269035533,-5.0,52.07289972899729,23.577634861081005
14.625,15.0,65.21310541310541,-9.0,52.332568514977694,21.915799140355087
14.875,13.0,64.53134796238244,-9.0,52.89268138801261,19.82331323283052
15.125,14.0,64.79532814238043,-9.0,53.31044682190056,19.448466976239335
15.375,14.0,64.32983682983684,-9.0,53.464125,18.448673702873254
15.625,14.0,63.36083521444695,-9.0,53.49652558433355,16.882650031946206
15.875,15.0,61.87385554425229,-9.0,53.67400497512438,14.192994196985307
16.125,16.0,61.29260991580917,-9.0,53.483333333333334,13.607863044129994
16.375,13.0,60.23367003367004,-12.0,53.30598639455783,12.203108335969691
16.625,14.0,59.18002114164905,-12.0,53.343121149897335,10.37457694991909
16.875,14.0,58.81293588301462,-12.0,52.66171232876713,11.036094130678519
17.125,13.0,57.91448763250884,-12.0,52.53465211459755,9.741742724713676
17.375,13.0,57.399086757990865,-12.0,52.72518223989397,8.488418693951411
17.625,12.0,54.83556581986143,-12.0,52.25553319919517,4.818388538915169
17.875,13.0,53.200984009840106,-12.0,51.414190093708164,3.4159364192490274
18.125,14.0,51.67756332931242,-12.0,50.69423868312758,1.9210849606131752
18.375,15.0,49.993014230271676,-12.0,49.39038199181445,1.212742291701441
18.625,15.0,49.36633540372671,-14.0,47.93985294117647,2.931946028949469
18.875,15.0,47.575229357798165,-14.0,46.57698056801196,2.1204999661140214
19.125,15.0,44.30358680057389,-14.0,45.11043956043956,-1.8047565750097487
19.375,15.0,42.80694444444445,-14.0,44.67280844155844,-4.265819085121207
19.625,15.0,43.180763790664784,-14.0,43.615433571996824,-1.001587153676455
19.875,15.0,43.44592391304349,-14.0,42.86021069692058,1.3572921989146387
20.125,14.0,42.85478260869565,-14.0,42.21832504145937,1.4962602985036666
20.375,14.0,42.07006802721089,-15.0,41.27094594594595,1.917716243582849
20.625,15.0,41.59650837988826,-12.0,39.94839961202716,4.042211361681838
20.875,15.0,40.70121212121212,-12.0,39.14089979550103,3.90849462333543
21.125,14.0,39.56826923076923,-14.0,37.611826923076926,5.069810495681301
21.375,14.0,39.08052959501558,-13.0,36.736150712830955,6.184335353817895
21.625,14.0,38.04628820960699,-12.0,35.31462925851704,7.447177721780497
21.875,14.0,36.29986338797814,-12.0,33.85939334637964,6.956943830915404
22.125,14.0,33.772474747474746,-12.0,32.616865261228234,3.48131036125686
22.375,11.0,33.0713768115942,-12.0,31.618442256042975,4.492003769656834
22.625,12.0,32.06330749354005,-12.0,30.699642537980342,4.345445696465379
22.875,10.0,31.574637681159416,-12.0,29.317192982456138,7.414606110872471
