mlat_n,tec_n,tec_min_n,tec_max_n,tec_q25_n,tec_q75_n,tec_std_n,mlat_s,tec_s,tec_min_s,tec_max_s,tec_q25_s,tec_q75_s,tec_std_s,mlt,asy
12.5,20.102770513808604,11.1,29.4,16.8,23.3,4.009619312604475,-6.5,16.948193527163706,10.1,24.1,15.0,18.175,4.009619312604475,13.125,17.028312586719476
12.5,20.4762203221443,11.6,30.6,16.95,23.2,4.1538374522573,-5.5,17.4172969928482,12.4,22.3,15.7,19.1,4.1538374522573,13.375,16.144837143876547
13.5,20.720424517185783,12.6,30.5,17.05,24.0,4.421900561378317,-5.5,17.563158675433144,12.9,22.9,15.674999999999999,19.3,4.421900561378317,13.625,16.49409787932996
14.5,21.343114626315966,12.6,31.5,17.65,23.9,3.8091995830095997,-5.5,17.51633949536802,12.4,24.6,15.8,18.9,3.8091995830095997,13.875,19.695465196010392
14.5,21.55933738674299,12.7,29.4,18.1,23.3,3.7511475145297704,-10.5,17.866090145393542,8.1,29.3,15.0,19.8,3.7511475145297704,14.125,18.73535671028044
15.5,21.77906158873951,11.0,31.1,18.65,24.4,4.381966103177027,-10.5,18.074498965700766,7.9,29.4,14.7,22.8,4.381966103177027,14.375,18.590874047392987
15.5,22.0462172457173,12.2,30.0,19.25,25.5,3.9899353511003492,-10.5,17.983893977014077,7.9,29.8,14.475,21.275,3.9899353511003492,14.625,20.296337654922155
15.5,22.332958173511145,11.4,29.8,19.6,25.5,4.023466781009656,-10.5,17.674048821953143,8.8,30.5,14.850000000000001,21.75,4.023466781009656,14.875,23.290466852900025
14.5,22.445318383305263,11.6,31.4,19.5,24.275,3.7589105668824057,-9.5,17.438976112454537,5.9,27.8,14.375,19.0,3.7589105668824057,15.125,25.104329080625774
15.5,23.049758877074105,12.9,31.5,22.025000000000002,27.225,3.8245459663779484,-5.5,17.303335183407725,9.2,23.5,15.475,20.0,3.8245459663779484,15.375,28.480709236588165
15.5,22.775015388938552,12.3,33.4,20.2,25.5,3.819186440921606,-5.5,17.246956561111887,11.8,23.6,16.0,19.9,3.819186440921606,15.625,27.62511969538122
