mlat_n,tec_n,tec_min_n,tec_max_n,tec_q25_n,tec_q75_n,tec_std_n,mlat_s,tec_s,tec_min_s,tec_max_s,tec_q25_s,tec_q75_s,tec_std_s,mlt,asy
23.5,23.521079552922757,12.4,36.1,20.1,26.8,4.582884051297502,-7.5,23.693842156439707,14.1,32.0,21.8,26.7,4.582884051297502,13.125,-0.7318135761419374
16.5,23.836255752638365,12.1,34.6,20.875,26.5,4.538482651274324,-7.5,23.787521459981164,14.6,32.6,22.1,26.8,4.538482651274324,13.375,0.2046637016615616
13.5,24.386190928722147,13.6,35.3,21.075000000000003,27.3,4.625984210253696,-7.5,23.918575961060395,16.5,31.9,22.2,26.8,4.625984210253696,13.625,1.9361027814447975
13.5,25.225019439848243,12.6,38.0,22.3,28.85,4.721171402740015,-7.5,23.883230000229233,16.1,32.5,22.1,26.7,4.721171402740015,13.875,5.464619304975547
13.5,26.03596609376103,9.3,37.1,22.35,30.05,5.065046349677864,-7.5,23.819751128482544,16.1,34.2,22.1,26.6,5.065046349677864,14.125,8.890514824605518
13.5,26.61452029446796,14.8,36.3,22.5,30.5,4.993059496140646,-8.5,23.621307240234785,10.6,36.3,21.3,26.2,4.993059496140646,14.375,11.916646748440543
13.5,26.986500385058857,10.5,36.7,23.0,30.9,5.136944968462417,-8.5,23.44725687271162,14.3,32.6,20.8,25.5,5.136944968462417,14.625,14.035216508886757
13.5,27.077000851606865,0.3,38.0,23.3,31.65,5.389502949443929,-8.5,23.195598958955237,13.9,30.9,20.7,25.0,5.389502949443929,14.875,15.441421001808457
15.5,27.355635975067226,16.0,38.8,23.8,31.5,5.194197894250901,-7.5,22.93138234111729,14.8,34.6,21.2,25.325,5.194197894250901,15.125,17.596007009729682
15.5,27.536001622634128,15.9,40.0,24.0,31.85,5.211991737236412,-8.5,22.702289111662896,13.5,33.4,20.2,24.8,5.211991737236412,15.375,19.2431408008526
14.5,27.374372543659977,15.8,37.6,22.475,31.125,5.496541800346778,-8.5,22.269976850495084,12.8,33.1,20.1,24.4,5.496541800346778,15.625,20.563853713292353
14.5,27.269500331670184,13.0,40.5,22.3,31.150000000000002,5.414974307347388,-7.5,21.809076900538,14.7,28.9,19.9,24.3,5.414974307347388,15.875,22.251759276952885
