mlat_n,tec_n,tec_min_n,tec_max_n,tec_q25_n,tec_q75_n,tec_std_n,mlat_s,tec_s,tec_min_s,tec_max_s,tec_q25_s,tec_q75_s,tec_std_s,mlt,asy
20.5,57.88707757382268,47.8,66.9,58.75,64.2,4.8937661742691665,-12.5,54.68063291453001,26.8,109.4,38.45,63.6,4.8937661742691665,13.125,5.696917251638409
19.5,58.061348383620775,41.8,81.4,48.975,63.050000000000004,9.433873595426896,-13.5,58.52485884952754,33.0,115.7,44.95,77.275,9.433873595426896,13.375,-0.7951377386860865
21.5,57.58181913880007,49.0,66.5,51.099999999999994,63.05,6.369548088926156,-13.5,61.159417685679955,33.8,101.1,45.7,73.80000000000001,6.369548088926156,13.625,-6.0258738119229625
21.5,59.03432235197455,48.4,78.2,58.2,63.2,6.878523727512375,-12.5,61.33704234383659,45.8,109.9,54.05,72.175,6.878523727512375,13.875,-3.826026227552066
17.5,62.68088746700612,36.8,71.3,39.775,49.375,10.255874332953447,-12.5,60.537740447502635,46.2,126.1,51.85,68.625,10.255874332953447,14.125,3.4786088041662673
16.5,60.38634602910247,44.6,80.8,58.8,74.55000000000001,9.871739365240458,-12.5,62.268821437948596,50.8,87.2,64.2,73.1,9.871739365240458,14.375,-3.069541133441144
18.5,58.44385008116892,17.0,56.6,47.0,55.5,12.554293201043928,-12.5,59.55342093208173,39.6,115.2,62.5,68.75,12.554293201043928,14.625,-1.8806720551837333
19.5,54.847772702894424,21.1,67.1,50.400000000000006,56.150000000000006,10.619891488998146,-11.5,56.110559645673675,34.7,72.4,51.925,68.1,10.619891488998146,14.875,-2.2761462182259384
19.5,57.34269593003429,39.3,83.6,45.55,72.85,15.768413272833037,-12.5,52.83837099866671,27.7,75.4,46.35,62.9,15.768413272833037,15.125,8.176223115142568
18.5,56.19295186927155,32.0,99.2,48.7,63.849999999999994,14.374201979229404,-12.5,51.26815737268207,31.0,102.0,36.9,57.4,14.374201979229404,15.375,9.165724291010404
17.5,56.74043133781861,15.5,74.1,46.05,60.6,11.031506834967402,-11.5,51.893698006567526,27.2,90.0,40.45,56.375,11.031506834967402,15.625,8.923039859575312
11.5,57.79982867324569,55.5,56.0,55.625,55.875,0.3535533905932738,-12.5,53.3790149355054,31.1,90.9,40.949999999999996,65.325,0.3535533905932738,15.875,7.9526168725005855
11.5,58.71972662480072,54.3,63.8,54.75,63.725,5.288588343468102,-12.5,54.78158303783201,32.4,98.6,40.275,65.075,5.288588343468102,16.125,6.939379992485218
11.5,57.676487720034686,49.3,63.5,59.725,63.349999999999994,7.01777505101629,-12.5,56.54290629144692,33.5,112.0,43.099999999999994,65.2,7.01777505101629,16.375,1.9849193534923102
11.5,54.548088286713366,42.1,65.1,49.0,63.65,8.474151172550444,-12.5,56.277217889176264,27.6,84.6,50.3,65.35,8.474151172550444,16.625,-3.1204598699120485
12.5,54.68071703853963,43.9,76.6,51.0,62.5,9.021699347312595,-12.5,55.0837919247434,32.1,101.4,46.95,63.25,9.021699347312595,16.875,-0.7344357297468521
12.5,54.22715420208264,43.0,75.2,52.0,62.5,7.999550768636948,-12.5,52.333115410430736,27.0,101.1,49.325,61.275,7.999550768636948,17.125,3.55486861761747
13.5,54.20775290138333,37.6,73.1,46.2,60.1,9.910386807116392,-12.5,48.86394696424955,32.6,92.8,41.5,54.6,9.910386807116392,17.375,10.369104117037194
12.5,54.49228849712101,40.8,76.2,46.599999999999994,69.4,13.680311001249539,-12.5,44.32452288868634,19.8,84.3,40.525,53.525,13.680311001249539,17.625,20.579019836487106
12.5,51.37860827838087,38.0,75.4,44.5,58.4,11.738357811791525,-11.5,39.727945358889286,20.2,68.4,33.849999999999994,47.55,11.738357811791525,17.875,25.57590525458202
15.5,48.320349274936795,35.3,57.7,43.025,55.025,8.017210106685296,-11.5,37.92273193069963,18.8,70.3,31.075,43.9,8.017210106685296,18.125,24.112351272434882
19.5,46.114488466196825,28.3,61.9,40.55,47.95,7.301072649669278,-11.5,37.49596694183192,17.2,55.1,29.4,42.3,7.301072649669278,18.375,20.61589422592072
25.5,45.029206435427646,20.7,58.7,43.3,50.3,8.564694076401262,-11.5,37.01876372375022,17.3,47.8,34.2,42.7,8.564694076401262,18.625,19.526242260805965
25.5,44.23272872473976,21.0,54.2,40.4,47.75,7.326013935727953,-11.5,36.53732570982221,18.4,57.1,31.4,40.825,7.326013935727953,18.875,19.055089336734774
27.5,42.74073795599449,21.2,60.5,38.4,47.7,7.573888965347061,-11.5,35.252607666608185,16.3,45.0,34.3,41.1,7.573888965347061,19.125,19.201972244196753
26.5,41.4312824716052,21.3,52.3,41.45,47.25,8.323584376114876,-11.5,34.67074713455464,17.5,48.8,32.6,41.2,8.323584376114876,19.375,17.767030319788873
25.5,39.842597820800336,22.0,51.2,31.45,43.650000000000006,7.46555374728648,-12.5,34.91611889576401,12.0,53.9,32.9,42.7,7.46555374728648,19.625,13.179677611947996
25.5,37.98033258938853,22.0,46.0,33.175000000000004,39.55,5.2870644830054445,-12.5,33.54002269832577,10.6,56.4,31.375,39.225,5.2870644830054445,19.875,12.416912285181315
24.5,36.69151470977918,21.9,47.0,32.9,39.5,4.963186877591903,-12.5,30.065698214888528,20.3,50.6,25.8,36.3,4.963186877591903,20.125,19.85048867263996
26.5,36.4524214840883,22.7,48.8,34.8,40.2,5.124784714243804,-7.5,28.094194008297624,17.5,36.0,24.5,29.5,5.124784714243804,20.375,25.898267204348244
26.5,36.348231148509434,17.6,48.9,34.35,42.575,7.225299080903891,-10.5,27.56322427321301,13.4,56.9,23.5,30.7,7.225299080903891,20.625,27.491180782312608
26.5,34.89951061050417,16.6,47.4,31.75,41.05,7.006325665182807,-10.5,28.035628346873484,12.1,59.2,24.9,32.5,7.006325665182807,20.875,21.812559334394102
25.5,34.33359966970606,21.5,41.4,29.6,39.4,5.6092786363416955,-10.5,26.903107564338796,15.8,59.4,23.9,30.5,5.6092786363416955,21.125,24.268098142403854
23.5,33.53187869947266,20.3,44.1,29.8,36.8,5.583173670171162,-7.5,24.591578764852024,17.8,39.7,19.7,25.8,5.583173670171162,21.375,30.763138755494914
24.5,32.50024788321883,20.5,46.6,31.375,39.225,5.589726756020518,-4.5,,17.1,35.2,20.125,24.424999999999997,5.589726756020518,21.625,
24.5,32.25395801655262,16.3,45.6,29.1,38.7,6.295971511155319,-11.5,23.39352802776667,12.3,43.6,22.1,27.5,6.295971511155319,21.875,31.844852727863554
24.5,31.68754954220684,20.9,45.5,28.575000000000003,34.375,5.9043404596733975,-10.5,22.641540249801185,11.4,41.7,17.275,24.6,5.9043404596733975,22.125,33.30079457262083
13.5,30.274738546294753,15.9,42.3,23.575,32.225,7.642480533884361,-7.5,20.554540059565934,12.4,32.9,18.8,25.15,7.642480533884361,22.375,38.24645461565951
13.5,29.908390698138952,15.6,38.4,22.95,29.8,6.592435058459051,-9.5,19.76681102131564,9.5,33.9,14.274999999999999,20.975,6.592435058459051,22.625,40.83155911111884
13.5,30.190515001062415,22.1,43.5,26.549999999999997,39.6,7.744165238300074,-9.5,18.634088388447758,10.0,30.3,13.649999999999999,23.1,7.744165238300074,22.875,47.33853758286759
27.5,28.398178999665433,13.4,46.3,24.125,33.675000000000004,6.589959933272085,-7.5,17.47268696089667,8.8,26.5,12.3,18.0,6.589959933272085,23.125,47.635865641438095
26.5,28.59083818219348,14.6,38.5,24.125,33.275,5.790830189680429,-6.5,16.33809407162141,7.7,25.1,13.375,16.924999999999997,5.790830189680429,23.375,54.54277898861795
25.5,28.971881523334932,14.5,40.0,26.2,33.6,5.729769280263988,-7.5,15.75933761456103,7.0,24.5,12.05,16.200000000000003,5.729769280263988,23.625,59.07526851903007
26.5,28.95612526575581,15.3,42.4,24.450000000000003,35.6,7.573712515275425,-7.5,14.953503077525937,6.8,29.1,11.9,16.4,7.573712515275425,23.875,63.77927901716024
