mlat_n,tec_n,tec_min_n,tec_max_n,tec_q25_n,tec_q75_n,tec_std_n,mlat_s,tec_s,tec_min_s,tec_max_s,tec_q25_s,tec_q75_s,tec_std_s,mlt,asy
13.5,59.14655978717012,46.8,69.1,55.925000000000004,61.125,5.608409219043665,-7.5,58.56027755128231,43.7,70.0,52.05,60.05,5.608409219043665,13.125,0.9961736278785926
18.5,60.13700024938238,42.5,80.4,60.8,67.6,8.135981568220965,-10.5,60.559072076296765,37.8,90.1,53.075,68.125,8.135981568220965,13.375,-0.6993961257918806
19.5,60.09800377773231,23.6,80.4,51.95,67.775,11.697855814615625,-10.5,60.368791893737395,38.4,75.7,54.325,65.35,11.697855814615625,13.625,-0.4495647360681265
14.5,60.837753455879046,45.9,75.6,56.675,69.45,8.52595430584734,-11.5,60.68354009407065,39.1,90.2,53.8,68.95,8.52595430584734,13.875,0.25380467456101896
15.5,61.829575308648586,8.3,75.8,56.225,72.625,18.09815161705811,-10.5,61.44316023091471,42.8,76.1,55.5,67.625,18.09815161705811,14.125,0.6269270752247772
15.5,64.75328949810509,12.8,77.0,68.2,75.3,18.560627811631395,-10.5,61.102258651445794,14.6,77.8,56.4,68.3,18.560627811631395,14.375,5.801938651637147
15.5,60.741262946712105,9.7,74.2,32.5,67.44999999999999,22.966356345957973,-10.5,61.29315665207464,29.2,86.7,54.150000000000006,70.225,22.966356345957973,14.625,-0.9044885978513307
15.5,61.30743611027309,46.2,72.8,55.725,65.325,7.722165067734132,-10.5,62.86081139070765,45.1,83.1,61.3,72.95,7.722165067734132,14.875,-2.5020491336519766
11.5,60.66189062812207,46.3,66.0,54.4,62.9,6.183376331515241,-10.5,63.478289073028314,36.6,85.9,58.474999999999994,73.2,6.183376331515241,15.125,-4.537448635383508
17.5,59.288785508155065,41.7,68.9,51.2,57.85,6.401857929244957,-10.5,64.21936442426423,48.9,80.1,61.575,71.425,6.401857929244957,15.375,-7.9842162947255835
12.5,60.46802938599618,49.8,65.0,53.75,61.75,4.310814809792265,-10.5,62.16179867568073,43.7,85.7,58.7,70.3,4.310814809792265,15.625,-2.762409955973618
18.5,57.82370045543824,36.6,71.3,53.4,63.8,7.9455245606704725,-10.5,59.39914754037756,39.6,86.4,56.3,69.3,7.9455245606704725,15.875,-2.687952241180072
10.5,62.41200723613836,52.5,86.8,58.5,73.0,9.577080776023356,-10.5,57.93150473316059,37.6,79.6,52.1,61.5,9.577080776023356,16.125,7.446188713722765
10.5,62.54547983266753,53.8,73.9,58.2,73.0,7.171720255878041,-11.5,57.058044643544214,33.1,80.1,48.4,65.9,7.171720255878041,16.375,9.176042617731934
11.5,62.34620046949523,57.0,76.9,68.35,73.65,6.173448144133398,-11.5,57.217752431760616,21.4,79.4,49.45,66.27499999999999,6.173448144133398,16.625,8.578585624331174
11.5,61.132320646748454,46.2,77.0,56.775000000000006,74.05,9.108144742679201,-11.5,55.9362706150968,24.5,75.1,48.825,68.45,9.108144742679201,16.875,8.876932703545972
11.5,57.938401604366575,43.2,76.7,48.6,67.625,10.826512504766857,-11.5,55.47597045463229,23.0,73.6,46.599999999999994,64.44999999999999,10.826512504766857,17.125,4.342361739574441
13.5,57.5896001526241,39.5,68.9,51.1,63.3,7.1059775706558534,-10.5,54.75778866359919,26.2,81.0,47.0,63.8,7.1059775706558534,17.375,5.041170104375379
14.5,57.96080573282151,41.6,70.8,53.6,62.3,7.138261792675093,-10.5,51.53519502629885,24.6,69.5,43.175,58.075,7.138261792675093,17.625,11.736703919731875
14.5,56.5432070410672,40.2,71.4,54.25,59.75,7.156536454660511,-10.5,49.14587007281821,35.8,70.5,46.925,53.175,7.156536454660511,17.875,13.998299862677342
14.5,55.07790571865584,41.4,71.2,52.349999999999994,60.625,7.240303271628155,-10.5,47.49653397270413,27.6,70.2,43.4,51.4,7.240303271628155,18.125,14.782185052657532
16.5,51.0152797758647,37.0,77.9,46.050000000000004,59.7,10.766647484335506,-10.5,44.43597301678416,24.9,64.8,40.45,51.25,10.766647484335506,18.375,13.785689693089582
18.5,49.83233517626207,29.6,75.2,45.45,53.4,9.28380416746389,-10.5,42.21466062049882,23.5,62.7,36.6,50.25,9.28380416746389,18.625,16.55170707055562
19.5,48.6450239101816,37.4,76.7,45.1,51.9,9.399799618965941,-10.5,40.719957845020026,5.3,60.6,36.6,49.175000000000004,9.399799618965941,18.875,17.736401685552366
19.5,46.151398156914624,30.5,65.6,38.15,48.0,7.416751976205169,-11.5,41.3521609564487,19.8,60.6,38.1,46.75,7.416751976205169,19.125,10.969238849469832
25.5,44.781561706806016,25.0,63.5,39.0,46.9,7.631490715763082,-11.5,39.83049712781729,10.5,59.0,35.75,44.65,7.631490715763082,19.375,11.702976259366826
25.5,43.93457884390594,19.8,58.3,37.849999999999994,46.3,7.437070099810136,-11.5,38.139912179819824,4.9,52.0,32.6,42.7,7.437070099810136,19.625,14.120505876572581
26.5,41.81936819313468,24.8,62.9,37.975,47.65,8.232493617154894,-11.5,38.08708115635171,6.1,57.3,32.650000000000006,45.349999999999994,8.232493617154894,19.875,9.341641550005775
26.5,40.910957964841856,22.5,57.9,38.45,45.9,7.003142493233319,-11.5,35.998637954137926,10.4,52.5,31.3,42.55,7.003142493233319,20.125,12.774270757783723
26.5,39.587480601429185,20.4,56.6,35.1,44.0,7.564608149810336,-10.5,34.2150663600685,20.8,48.9,28.325,38.125,7.564608149810336,20.375,14.558885736459585
25.5,38.74510914279381,20.1,57.3,34.125,43.675000000000004,7.243776697538223,-10.5,33.934063227125534,17.8,48.5,28.4,39.6,7.243776697538223,20.625,13.239132364307117
26.5,37.85719767041289,16.3,52.4,33.800000000000004,42.275,6.808763526869607,-10.5,34.05131783557067,14.9,66.8,28.6,40.55,6.808763526869607,20.875,10.585338351270861
26.5,37.217396623477704,22.3,51.7,31.9,41.150000000000006,7.301222148076744,-10.5,32.05058293887533,18.9,46.5,27.275,39.3,7.301222148076744,21.125,14.918332300861636
26.5,36.32910633337688,20.4,50.2,29.25,43.150000000000006,8.10105927198658,-10.5,29.73114167120287,13.7,43.5,24.0,35.6,8.10105927198658,21.375,19.975597614216014
25.5,35.734328042301094,17.2,46.4,29.25,38.85,7.168530131422408,-11.5,28.275068117072596,12.0,44.3,21.95,32.975,7.168530131422408,21.625,23.306765483792635
25.5,34.8863006072983,17.1,47.6,29.5,38.5,6.911164330152119,-10.5,27.19058044932766,12.5,38.8,21.7,31.7,6.911164330152119,21.875,24.794158556228616
21.5,33.77473401929758,20.6,48.6,30.35,36.5,6.411512822148166,-10.5,25.330352760320487,13.0,38.8,20.5,30.150000000000002,6.411512822148166,22.125,28.574126929085484
26.5,34.0562860227979,14.0,45.9,29.799999999999997,37.75,6.627986744606095,-9.5,24.5921819873447,15.7,40.4,21.0,28.35,6.627986744606095,22.375,32.27400256667059
23.5,33.229605690861504,15.8,48.2,27.525000000000002,35.0,7.122954091906226,-9.5,23.85482406776666,14.2,40.5,20.2,29.974999999999998,7.122954091906226,22.625,32.84531933746039
23.5,33.28235036101513,16.0,52.8,29.2,36.7,7.276696019797648,-10.5,21.592669040937384,11.2,36.3,17.775,26.225,7.276696019797648,22.875,42.60474601185041
24.5,33.059439656433526,15.9,49.6,28.4,35.425,6.437975212319252,-10.5,20.701464169176138,9.0,33.3,17.3,23.7,6.437975212319252,23.125,45.97383826486383
24.5,31.981932663816636,15.7,45.1,28.3,34.1,6.054937127382721,-9.5,19.52431430596734,9.1,28.7,15.65,21.55,6.054937127382721,23.375,48.3732327271196
25.5,30.84772606732595,15.6,56.5,28.35,37.5,7.559564978231125,-8.5,17.98720313759246,8.3,34.9,15.9,20.2,7.559564978231125,23.625,52.66936243838455
27.5,30.64266674891782,18.0,44.0,26.849999999999998,35.275000000000006,6.329894122018123,-8.5,17.009276563002633,1.8,24.8,14.4,19.6,6.329894122018123,23.875,57.220710167783245
