Timestamp,GPS_Position_X,GPS_Position_Y,GPS_Position_Z,LEO_Position_X,LEO_Position_Y,LEO_Position_Z,PRN,Latitude,Longitude,Absolute_STEC,Elevation_Angle,date,LT
63530627504000.0,9165088.089568492,16349319.149865752,-18523745.336977214,-110254.334811341,-39708.116562378,-6828237.204006271,31,-89.01678113680833,-160.19350745666438,17.252204879400402,31.094789177843566,2013-03-17 04:31:39,17.847932836222377
63530627504000.0,-8805824.846248299,-18911610.069896065,-16556612.374917291,-110254.334811341,-39708.116562378,-6828237.204006271,4,-89.01678113680833,-160.19350745666438,20.962020598369797,25.775994566499705,2013-03-17 04:31:39,17.847932836222377
63530627504000.0,-12623762.897222599,-11602094.713214833,-20666675.067198087,-110254.334811341,-39708.116562378,-6828237.204006271,10,-89.01678113680833,-160.19350745666438,17.371428361597882,39.98912409483845,2013-03-17 04:31:39,17.847932836222377
63530627504000.0,-14431962.446940988,-6971403.660875835,-21043587.258616485,-110254.334811341,-39708.116562378,-6828237.204006271,2,-89.01678113680833,-160.19350745666438,16.15511117308286,42.75625033815412,2013-03-17 04:31:39,17.847932836222377
63530627514000.0,9158719.715496939,16372428.630702628,-18506367.27833199,-75317.4195063806,-107400.144388171,-6828084.56137361,31,-88.89940060779995,-125.04115615874262,17.304467449635922,30.629626552858646,2013-03-17 04:31:49,20.19420070052827
63530627514000.0,-14427051.665062066,-6998141.441927327,-21038640.522133876,-75317.4195063806,-107400.144388171,-6828084.56137361,2,-88.89940060779995,-125.04115615874262,16.919817444906183,42.70974899552274,2013-03-17 04:31:49,20.19420070052827
63530627514000.0,-8799709.188420676,-18931494.149633203,-16536508.051041685,-75317.4195063806,-107400.144388171,-6828084.56137361,4,-88.89940060779995,-125.04115615874262,19.46600049584519,26.159469443602326,2013-03-17 04:31:49,20.19420070052827
63530627514000.0,-12599725.424025428,-11610832.932315273,-20676159.97531272,-75317.4195063806,-107400.144388171,-6828084.56137361,10,-88.89940060779995,-125.04115615874262,17.172462214727698,40.231352561992516,2013-03-17 04:31:49,20.19420070052827
63530627514000.0,12378993.68733728,-9336268.064230924,-21533219.91337162,-75317.4195063806,-107400.144388171,-6828084.56137361,23,-88.89940060779995,-125.04115615874262,15.930867934454318,43.509425360356396,2013-03-17 04:31:49,20.19420070052827
63530627514000.0,-3451167.1587764933,16369198.665305853,-20583657.940580457,-75317.4195063806,-107400.144388171,-6828084.56137361,29,-88.89940060779995,-125.04115615874262,16.95711578094786,38.51811304463511,2013-03-17 04:31:49,20.19420070052827
