mlt,mlat_n,tec_n,tec_min_n,tec_max_n,tec_q25_n,tec_q75_n,tec_std_n,mlat_s,tec_s,tec_min_s,tec_max_s,tec_q25_s,tec_q75_s,tec_std_s,asy
13.125,10.333333333333334,73.14557696805412,43.7596,103.8467,66.5257,81.53355,10.967855947796869,-1.0,,42.669966666666674,84.5876,61.035266666666665,69.407225,10.967855947796869,
13.375,12.333333333333334,74.6950365787391,46.29676666666666,105.54333333333334,65.7136,85.58193333333332,13.095245992243008,-1.0,,44.8641,84.02923333333332,61.17207500000001,69.54999166666666,13.095245992243008,
13.625,12.0,76.63883704656986,46.15266666666667,107.44573333333334,68.043975,86.40603333333333,12.82211752115402,-1.3333333333333333,,48.10066666666666,84.34066666666666,61.32597499999999,70.13388333333334,12.82211752115402,
13.875,11.666666666666666,78.02498069178301,44.7981,107.8399,68.3535,87.88396666666667,13.649256453299856,-1.3333333333333333,,47.933600000000006,82.90753333333333,61.36234166666667,70.368675,13.649256453299856,
14.125,11.666666666666666,79.02283111045254,44.5037,109.935,69.236125,89.20006666666666,13.719471927032652,-4.0,76.78192394782404,45.102466666666665,82.18253333333332,62.20633333333333,70.67379166666667,13.719471927032652,16.12554495884249
14.375,11.666666666666666,79.57430273032763,45.5374,109.81823333333334,70.61231666666667,89.10629999999999,13.063169546221998,-4.666666666666667,72.67787839832955,45.0785,80.9133,62.88365833333333,70.97499166666667,13.063169546221998,17.621272318071238
14.625,12.0,79.5457184700652,44.7092,110.532,69.42191666666668,89.2559,13.74256377606517,-10.0,66.99663043710221,45.96243333333334,89.7088,61.89666666666667,72.62278333333333,13.74256377606517,17.339355002501097
14.875,12.333333333333334,79.25561437737785,43.933166666666665,112.699,69.32076666666666,88.66075000000001,13.733716634236131,-10.666666666666666,67.02656394617718,45.85966666666667,91.25999999999999,60.957591666666666,72.80040833333334,13.733716634236131,16.949537175129993
15.125,12.333333333333334,78.40773814942857,43.01396666666667,112.89133333333332,69.67946666666667,87.00364166666668,12.778127742611865,-10.333333333333334,67.07174171984246,44.61213333333333,93.48056666666666,61.013749999999995,72.50525833333334,12.778127742611865,15.977162658069275
15.375,12.333333333333334,77.61024853192147,45.4515,112.30333333333333,69.30183333333333,86.8852,12.944020153856888,-10.333333333333334,66.48181213062303,39.46366666666666,92.82613333333335,59.89264166666667,72.32934999999999,12.944020153856888,15.945294494652947
15.625,12.333333333333334,77.24344662246828,42.88806666666667,113.24566666666665,67.844125,87.26850833333333,14.40832162154844,-10.666666666666666,65.99392448047715,44.19266666666667,96.3949,59.692025,72.45162499999999,14.40832162154844,16.195811540086535
15.875,12.333333333333334,76.00948087789995,43.582033333333335,115.52133333333332,66.62434999999999,85.52418333333334,14.250487757825788,-11.0,65.95037237356843,44.74583333333334,93.50556666666667,59.4142,73.28053333333334,14.250487757825788,14.567065677096538
16.125,12.333333333333334,74.4597198942648,39.48863333333333,114.43299999999999,65.324125,83.01455833333334,13.990587409386992,-11.333333333333334,65.97791806080677,42.94913333333333,99.66626666666667,58.24718333333333,73.50340833333333,13.990587409386992,12.373111554168304
16.375,13.0,72.31326251615755,40.50566666666666,118.87599999999999,61.6,82.24465,14.98816078418293,-11.666666666666666,66.29155022480184,39.77023333333333,101.027,57.46983333333333,73.89783333333334,14.98816078418293,8.9241282016405
16.625,13.0,70.45359764676418,38.77693333333334,114.28033333333333,59.31500833333333,80.826025,15.128950572388367,-11.666666666666666,65.9047394924815,29.10575,101.16246666666666,57.85033333333333,73.52383333333334,15.128950572388367,6.865671496938083
16.875,13.333333333333334,68.55139388442518,35.32553333333333,116.61333333333334,57.09155833333333,79.24904166666666,16.329733029358056,-11.666666666666666,65.3436156760293,29.419573333333332,101.87283333333333,57.51583333333334,72.89763333333333,16.329733029358056,4.886028216659212
17.125,13.333333333333334,67.11078495337658,33.2154,118.47866666666668,55.239174999999996,77.56784166666667,16.12450717974237,-12.333333333333334,64.96571618889958,38.5409,104.05086666666666,55.980850000000004,72.91896666666666,16.12450717974237,3.2562435963270424
17.375,13.333333333333334,65.30413314090474,31.309566666666665,114.58166666666666,53.54083333333333,77.31665,15.797721337062825,-12.666666666666666,64.9488680500602,33.472566666666665,108.3634,55.400575,74.04153333333333,15.797721337062825,0.5028986892186312
17.625,13.333333333333334,63.18664698906296,29.447599999999998,110.80733333333335,52.57153333333333,74.63184166666666,15.113432989530033,-12.666666666666666,64.053548293639,30.513099999999998,109.04973333333334,55.42078333333333,73.23709166666667,15.113432989530033,-1.44709092005899
17.875,13.333333333333334,61.463432898934,30.02503333333333,110.847,50.74289166666667,73.279975,15.279117007363437,-13.333333333333334,63.580751086571105,28.468799999999998,117.54566666666666,54.10686666666667,72.90568333333333,15.279117007363437,-3.4239573322417325
18.125,13.333333333333334,59.95728850942488,26.698733333333333,110.46499999999999,48.2874,71.99406666666665,15.816963892362997,-13.333333333333334,62.56989319142633,30.199233333333336,104.74459999999999,52.84989166666667,71.689575,15.816963892362997,-4.374536597715276
18.375,14.0,58.13734178748228,17.490096666666666,108.67900000000002,45.78808333333333,70.972675,16.682575595746247,-14.0,61.65741639663446,26.8737,113.59336666666667,50.85399166666667,74.63203333333333,16.682575595746247,-5.993817993946841
18.625,14.0,56.81459589163632,14.740543333333333,102.47233333333334,43.09135,68.88078333333334,17.064627478665546,-14.0,60.88946207800558,24.019566666666666,114.38383333333333,49.24064166666667,73.72543333333333,17.064627478665546,-6.921286861868018
18.875,14.0,55.7123897261696,15.20167,96.89643333333333,42.95934166666667,69.80238333333334,17.304509502221425,-15.0,60.89707932142571,23.1917,118.75866666666667,48.56146666666667,74.04466666666667,17.304509502221425,-8.868805949065278
