mlat_n,tec_n,tec_min_n,tec_max_n,tec_q25_n,tec_q75_n,tec_std_n,mlat_s,tec_s,tec_min_s,tec_max_s,tec_q25_s,tec_q75_s,tec_std_s,mlt,asy
10.5,34.05293531987133,25.0,47.0,30.25,38.650000000000006,5.9644507971132565,-12.5,30.750094324849798,10.6,52.9,24.675,37.324999999999996,5.9644507971132565,13.125,10.193477104787133
10.5,35.18745139693119,27.4,47.3,35.7,39.125,4.1190522346841805,-12.5,31.174894401351573,12.5,52.4,24.4,35.7,4.1190522346841805,13.375,12.092872689510765
10.5,36.56099596510357,25.8,45.9,34.3,39.9,4.782710303997032,-12.5,31.619501311363702,3.1,49.2,24.2,37.1,4.782710303997032,13.625,14.495331806403362
10.5,37.259372664098684,25.9,44.7,34.6,40.2,4.410262005698083,-12.5,31.509540511035443,3.3,50.7,23.4,37.3,4.410262005698083,13.875,16.722184160218195
11.5,38.14396620066789,24.8,46.1,34.099999999999994,40.400000000000006,3.9812364194378898,-12.5,31.59466937320298,5.8,50.5,23.0,37.5,3.9812364194378898,14.125,18.78240597502814
10.5,38.865405936597156,26.2,51.4,35.2,41.3,4.405995194141005,-12.5,31.85189595099641,5.5,49.2,23.8,38.6,4.405995194141005,14.375,19.835343822220043
10.5,39.66155405994294,26.4,51.5,36.349999999999994,42.5,4.588251911142951,-12.5,32.6642589076629,6.9,52.3,25.8,40.8,4.588251911142951,14.625,19.349371587192728
11.5,40.32253366452478,25.2,52.8,37.175000000000004,43.725,5.8117560703017865,-12.5,33.00163077740174,0.6,51.3,28.5,40.9,5.8117560703017865,14.875,19.968595463290313
11.5,40.15484673297655,20.4,53.3,35.95,46.05,6.53315243674678,-12.5,32.616840161950414,1.1,51.8,27.25,41.4,6.53315243674678,15.125,20.716866387637975
11.5,39.89474536013275,19.2,51.3,37.0,45.5,6.341070791204726,-12.5,32.84674865353728,1.3,50.2,27.5,40.725,6.341070791204726,15.375,19.37820167749364
10.5,39.91475202676798,18.6,53.0,36.0,43.5,6.0983267438789,-12.5,32.43857535605975,3.6,57.7,26.3,40.6,6.0983267438789,15.625,20.665743901869583
11.5,39.270181901296006,13.8,61.4,31.275,44.275,8.807353285860586,-12.5,32.02666563709743,12.7,58.4,25.9,39.9,8.807353285860586,15.875,20.31931709266089
10.5,38.49338306255903,13.0,56.8,32.775,44.575,8.346810482042358,-12.5,31.38205287307119,10.7,58.5,25.2,38.3,8.346810482042358,16.125,20.354306471987826
10.5,37.66249848919345,11.6,57.2,34.724999999999994,43.575,7.15062958165423,-12.5,31.135126351841752,10.6,57.2,23.65,37.95,7.15062958165423,16.375,18.975574091210106
10.5,36.77303679209156,27.0,53.3,33.6,39.1,5.694436218214335,-11.5,29.92000372146639,10.6,55.7,23.875,35.625,5.694436218214335,16.625,20.550969090191728
10.5,35.54501954636815,18.7,48.9,32.2,40.1,5.832848867963627,-11.5,28.50450946078464,9.8,53.5,21.475,33.725,5.832848867963627,16.875,21.984580354360634
