mlat_n,tec_n,tec_min_n,tec_max_n,tec_q25_n,tec_q75_n,tec_std_n,mlat_s,tec_s,tec_min_s,tec_max_s,tec_q25_s,tec_q75_s,tec_std_s,mlt,asy
8.5,57.52015294094709,38.8313,79.7726,52.4672,63.227525,7.966993326182627,-0.5,,34.3344,68.7769,50.8201,58.1221,7.966993326182627,13.125,
15.5,59.624164066500924,35.3106,112.604,49.9655,66.519625,13.571750782973243,-0.5,,37.9504,68.7921,51.994,57.9295,13.571750782973243,13.375,
14.5,61.80300910583581,34.4189,103.591,53.619200000000006,70.012575,14.322449787329566,-0.5,,39.0528,68.0441,51.71815,57.953950000000006,14.322449787329566,13.625,
13.5,63.20766826434145,33.5075,103.2,52.652225,72.303375,14.47182604260184,-0.5,,36.3248,67.6239,50.3333,58.5857,14.47182604260184,13.875,
11.5,65.60094422542096,35.2628,103.7,53.9109,76.4333,14.118881177196394,-0.5,,37.6343,67.0455,50.01885,58.8802,14.118881177196394,14.125,
11.5,67.74137824783953,34.1443,98.6147,55.0578,79.0,14.830737117042384,-0.5,,38.0866,67.2105,50.73055,59.85255,14.830737117042384,14.375,
11.5,68.49876382765471,31.334,100.136,56.7832,78.7,14.260303355311512,-7.5,55.04316645202914,37.4808,69.8303,50.49935,60.708800000000004,14.260303355311512,14.625,21.783045392222288
12.5,68.6056849664864,30.8584,102.099,57.7136,80.4443,14.885631043894627,-8.5,55.16313381610965,36.8654,77.2984,49.9458,60.77845,14.885631043894627,14.875,21.722031902056077
12.5,69.54662122582577,37.74,103.305,59.4156,79.18155,13.871523899459307,-5.5,55.0892874578371,38.0994,67.0405,51.1367,59.1,13.871523899459307,15.125,23.199307359619258
12.5,69.78957728484538,36.0122,103.36,60.5565,83.4,15.048495808225683,-5.5,55.04926095148326,38.3642,66.9913,51.2845,59.207375,15.048495808225683,15.375,23.614952752856716
12.5,69.97260709151658,32.7979,108.49,59.32625,83.25455,15.62617220096363,-7.5,54.91464244989242,38.4998,69.4851,50.747625,59.8,15.62617220096363,15.625,24.114494789368187
12.5,69.31190675723536,31.924,110.3,58.973,83.75065000000001,15.725145408835486,-7.5,54.96027026400161,40.1411,76.6044,50.9833,59.26505,15.725145408835486,15.875,23.09710320884005
12.5,68.27559779273608,37.5275,114.668,58.3001,78.53155,13.826841185943655,-9.5,55.335034972624385,36.9605,85.0755,50.295125,60.085175,13.826841185943655,16.125,20.93762086741464
12.5,66.50046557106995,37.9954,110.815,56.215424999999996,75.9226,13.296991110038968,-10.5,55.85646278754517,35.3912,86.281,48.9301,62.1169,13.296991110038968,16.375,17.398283736460506
12.5,64.85451139920912,36.6855,109.985,54.8746,74.4515,14.038191934035197,-10.5,55.898305096997824,2.04555,89.0788,49.0913,60.7716,14.038191934035197,16.625,14.833950150541826
12.5,62.37608228918733,35.0489,114.981,54.0238,74.29255,14.42590169288205,-10.5,55.42952476730115,3.44842,88.1785,49.521625,60.299974999999996,14.42590169288205,16.875,11.793254490094451
12.5,60.04262952852756,33.7422,108.931,50.4854,69.2579,13.750198486782288,-10.5,54.984629627496794,36.0088,82.0589,49.84295,61.04405,13.750198486782288,17.125,8.794436967623538
12.5,57.75774001988687,31.377,95.8831,48.466899999999995,66.91980000000001,12.937411874310632,-10.5,54.36895119947935,36.6161,87.6153,49.1033,60.2025,12.937411874310632,17.375,6.0445711606305155
12.5,55.00003540537332,30.0996,105.782,46.309174999999996,64.2123,12.83095054748912,-11.5,53.20139109823791,21.5967,95.5721,46.6915,58.4,12.83095054748912,17.625,3.324622170439453
13.5,52.442923603950085,24.3218,113.09,42.713300000000004,60.34975,15.059084890848947,-12.5,52.36609096587198,21.8548,99.7725,44.1719,59.3253,15.059084890848947,17.875,0.1466145605765948
13.5,49.82719519830961,20.1042,111.893,40.1389,61.663650000000004,15.46263448225873,-12.5,51.66169020343916,24.854,93.6097,44.2705,57.83525,15.46263448225873,18.125,-3.6151643559146556
13.5,48.02925564387565,18.5408,103.723,39.38185,59.2916,14.658043310337364,-13.5,50.18784211254434,22.0,93.9488,42.042425,58.256025,14.658043310337364,18.375,-4.395541138920674
13.5,45.9571375582509,14.9428,103.947,36.1,57.2806,14.444645502983436,-13.5,50.02696586089477,21.2839,96.5405,41.73765,58.095475,14.444645502983436,18.625,-8.480213197120042
13.5,44.56578219494461,16.4454,97.6183,35.6786,54.7328,13.902342484487892,-14.5,50.065207636984184,14.9347,105.845,40.1983,59.28445,13.902342484487892,18.875,-11.62288474802374
13.5,43.79602624781197,9.75215,84.5316,34.2124,52.093,13.647187993007995,-14.5,50.4312715711052,12.4005,103.001,39.94565,62.09555,13.647187993007995,19.125,-14.083488494055333
13.5,43.210259336165116,9.19597,86.6402,33.453975,50.7,14.349847830433298,-14.5,50.94276020118501,10.5904,100.923,39.64465,62.895424999999996,14.349847830433298,19.375,-16.425391140965885
13.5,43.18321841862913,11.0331,91.443,32.329674999999995,54.116525,15.153015642817095,-14.5,51.31901639053733,13.9637,101.406,40.2596,64.41312500000001,15.153015642817095,19.625,-17.218212856737747
13.5,43.48774416205227,12.6685,84.2422,31.0649,56.6541,15.945831255523547,-14.5,51.01404668569014,14.9788,95.7249,41.286825,63.66955,15.945831255523547,19.875,-15.928380734633803
13.5,43.23376819211443,13.0285,90.6015,33.093625,54.5597,14.969956795740467,-14.5,49.715069141770584,14.5,95.9721,39.8493,60.93085,14.969956795740467,20.125,-13.945953786112302
13.5,43.12139179507123,9.10768,82.0185,32.87295,54.3073,14.689599506866712,-14.5,47.34622294328689,3.68615,92.9714,37.795975,59.771024999999995,14.689599506866712,20.375,-9.339985718501175
12.5,42.77603753378824,0.266374,73.8464,36.84535,51.548125,11.870198307589728,-14.5,45.29275559915031,4.94947,88.8137,34.87025,55.105025,11.870198307589728,20.625,-5.715345869593379
