mlat_n,tec_n,tec_min_n,tec_max_n,tec_q25_n,tec_q75_n,tec_std_n,mlat_s,tec_s,tec_min_s,tec_max_s,tec_q25_s,tec_q75_s,tec_std_s,mlt,asy
19.5,99.71911689722496,87.1,154.8,95.7,114.0,20.512103993896147,-4.5,,64.9,120.9,95.475,108.9,20.512103993896147,13.125,
3.5,,91.5,102.6,96.92500000000001,101.97500000000001,4.2423103339686214,-11.5,100.49061981078643,71.1,125.2,98.0,105.925,4.2423103339686214,13.375,
2.5,,92.2,109.0,96.8,105.3,5.396193543777388,-11.5,101.748779679687,72.0,125.9,94.9,114.8,5.396193543777388,13.625,
1.5,,89.3,107.0,95.475,101.575,5.927000365558732,-11.5,102.78519564529097,69.8,124.7,99.6,111.675,5.927000365558732,13.875,
1.5,,90.4,103.3,94.6,99.25,3.93315189059187,-11.5,102.04159918467982,67.7,130.6,98.3,111.7,3.93315189059187,14.125,
1.5,,94.9,104.1,95.825,101.5,3.308910528994231,-7.5,103.9108175084413,16.3,113.5,97.45,104.85,3.308910528994231,14.375,
1.5,,91.6,104.5,96.9,103.9,4.067607229247753,-13.5,104.19307375218489,66.0,135.9,94.45,114.0,4.067607229247753,14.625,
0.5,,98.0,105.4,100.30000000000001,104.69999999999999,2.5241311565047666,-13.5,107.8706464689714,62.6,166.3,93.4,122.8,2.5241311565047666,14.875,
0.5,,41.8,106.7,100.5,105.4,23.19657081199498,-13.5,108.30408166840978,60.4,162.6,90.45,122.44999999999999,23.19657081199498,15.125,
16.5,94.10316874914315,74.4,115.9,92.95,109.55000000000001,11.768637700827286,-13.5,108.13047412006289,58.1,144.0,91.2,119.0,11.768637700827286,15.375,-13.872375705551473
22.5,74.82019137880171,66.5,94.1,72.4,83.375,7.524519568506823,-13.5,108.28577522413919,56.7,149.6,90.1,116.575,7.524519568506823,15.625,-36.55324232869644
16.5,90.41318059371196,99.0,99.0,99.0,99.0,0.0,-12.5,109.6990121177078,79.1,139.3,98.1,123.975,0.0,15.875,-19.275018940807655
19.5,79.97848669043387,57.1,104.0,71.125,86.5,14.160499294154153,-12.5,108.44272613014192,74.4,144.1,99.0,122.0,14.160499294154153,16.125,-30.213412825033817
19.5,81.33374118728203,69.9,109.0,77.7,87.6,10.374874040856417,-12.5,106.66490932771876,62.8,133.8,95.75,119.65,10.374874040856417,16.375,-26.94824465074073
0.5,,83.5,96.0,90.2,93.9,3.582895875844406,-11.5,105.2132583774495,77.5,128.0,98.5,115.0,3.582895875844406,16.625,
18.5,88.0718147685013,72.1,106.7,77.80000000000001,88.25,8.573635938245864,-11.5,103.30709667696645,65.4,131.8,91.30000000000001,111.19999999999999,8.573635938245864,16.875,-15.921589054294893
18.5,88.19829183524459,74.8,111.3,77.125,97.3,11.392854408748816,-11.5,99.50399203409636,66.7,122.3,88.9,111.2,11.392854408748816,17.125,-12.046417300624466
17.5,85.46683291799586,79.9,109.3,85.5,105.0,11.010462196373853,-11.5,95.95892039622608,56.0,123.5,88.675,106.575,11.010462196373853,17.375,-11.566260342387396
16.5,89.6109831028348,57.1,120.5,58.4,98.4,25.18542771585921,-12.5,94.48648178544077,59.9,133.0,86.75,107.35,25.18542771585921,17.625,-5.296649452033253
15.5,88.82283506944458,95.2,125.1,102.675,117.625,21.142492757477765,-12.5,92.9628417974794,61.3,119.4,87.725,108.025,21.142492757477765,17.875,-4.554821699253575
2.5,,63.4,72.5,66.275,70.25,2.673153873982365,-13.5,91.37957056059504,55.1,136.2,74.35000000000001,102.775,2.673153873982365,18.125,
21.5,65.84522858291479,50.5,103.4,63.3,72.6,10.393498109667652,-14.5,90.47341185774461,38.6,138.2,70.45,100.65,10.393498109667652,18.375,-31.510232183958895
16.5,87.81960578627944,78.5,117.6,94.55,114.1,20.849540362639488,-14.5,88.63392356078263,41.9,135.7,71.75,99.4,20.849540362639488,18.625,-0.9229826997696753
16.5,93.45110601224675,47.1,122.3,51.025,114.6,30.099877315017164,-15.5,87.2872212542828,40.1,139.8,66.5,107.1,30.099877315017164,18.875,6.820783229750992
19.5,90.92328967751925,88.5,157.6,97.7,129.3,21.49002153654169,-15.5,87.84846085462166,51.2,137.2,73.125,103.425,21.49002153654169,19.125,3.4399493362289038
16.5,116.13249085366905,82.7,150.2,107.55,139.475,22.205018737728125,-16.5,89.28416190533378,26.2,136.1,71.0,102.2,22.205018737728125,19.375,26.140362612016705
17.5,106.33917892455291,74.1,152.4,97.1,142.9,28.164608057965648,-16.5,95.06158036377306,38.8,146.3,70.8,110.75,28.164608057965648,19.625,11.199161910442259
17.5,94.98961578367296,88.6,138.4,95.575,129.125,19.41840069918956,-16.5,96.79800009719995,22.7,147.5,71.80000000000001,112.925,19.41840069918956,19.875,-1.8858196919766153
