mlat_n,tec_n,mlat_s,tec_s,mlt,asy,mlat_eq
12.5,53.11177433346811,-15.5,45.748281809437245,13.125,14.89680020692423,1.5824045348104696
12.5,54.268245269062035,-16.5,46.06326556011895,13.375,16.355738373983904,1.5453637372769855
12.5,55.11975794421149,-15.5,46.500767942189704,13.625,16.96308875956167,1.6652186883923876
13.5,55.58868035982778,-15.5,47.95446984419563,13.875,14.745949878074125,2.4593835679791782
13.5,55.63260796103934,-15.5,47.7767677581944,14.125,15.19367107325798,4.0886338815972625
13.5,55.012924913100605,-14.5,46.64226353893466,14.375,16.468734162281425,5.946269255010041
13.5,54.53649301431721,-14.5,46.95825614568725,14.625,14.93325897418204,7.896720621312655
13.5,54.01982935638431,-14.5,46.85292760542068,14.875,14.209786600117097,9.714931488600394
13.5,53.67656739497871,-14.5,46.28695659641688,15.125,14.78461443435687,11.500085467085178
13.5,52.933461369172754,-13.5,45.705783237241285,15.375,14.65477186239824,13.182333052856157
13.5,51.88427521075295,-13.5,44.87690793288681,15.625,14.483839593949298,14.954465005762032
12.5,50.209627094395145,-13.5,44.13291832454772,15.875,12.882223482232433,16.631539362643046
12.5,48.786046128420026,-13.5,42.2850866484438,16.125,14.276663266952928,18.280413956229353
12.5,47.627709180867065,-13.5,40.58360959602305,16.375,15.970965364797262,20.098776669854495
11.5,46.45567142857711,-13.5,39.720041805802545,16.625,15.632315347260509,22.01005201423851
11.5,45.20935989216925,-13.5,38.37607932180884,16.875,16.350408957874276,23.86690132366924
11.5,44.086493930017646,-6.5,37.180971014630465,17.125,16.99455721940037,25.74789379320723
11.5,42.677101418052665,-5.5,36.19847175598697,17.375,16.427467722536964,27.49670420614715
11.5,40.820364023589256,-5.5,35.202338068621025,17.625,14.779863910004027,29.176816390993082
12.5,38.88597221015119,-6.5,33.948229810735505,17.875,13.558856313136195,30.62240062121228
12.5,36.852159315433866,-11.5,32.48372513663284,18.125,12.600788793055667,31.809546079532552
12.5,34.85894162062326,-11.5,31.65365407227475,18.375,9.638137002344537,32.94033933271669
12.5,33.25629731828786,-10.5,30.234421464662127,18.625,9.519110545767628,33.88214036622769
12.5,32.50526205759521,-11.5,29.905009330797817,18.875,8.332771734368661,34.5249379459634
12.5,32.39826545656948,-11.5,29.506281141109344,19.125,9.343366438834645,35.23883506547439
12.5,32.79282822069066,-12.5,29.543862533343596,19.375,10.423927379034952,35.801250904664116
12.5,33.471803719779146,-12.5,29.75087750624755,19.625,11.770858626602543,36.39297542277577
12.5,33.88187821218648,-12.5,29.506681612186036,19.875,13.804372940866868,37.34589227012586
12.5,33.24295058733457,-12.5,28.188423869631745,20.125,16.455847724011463,38.26108638009774
12.5,32.647152329016265,-11.5,27.224525984232564,20.375,18.114161812576896,38.89875498545845
11.5,32.06341148392674,-10.5,26.20238057444588,20.625,20.118257050754877,39.30244610667332
11.5,31.018415122421942,-10.5,25.254570718052392,20.875,20.4852979392606,39.735992156510875
10.5,29.67504274464864,-9.5,24.397180681374852,21.125,19.521527796963852,39.99745017447731
9.5,28.83589580444277,-8.5,23.751744175526984,21.375,19.335918595519036,40.20423807481287
9.5,28.202282069692828,-8.5,23.115206695570556,21.625,19.825893653493402,40.647226512087805
8.5,27.700216582147007,-7.5,22.409680345267844,21.875,21.115733862085595,41.01936225050946
8.5,26.824452606190594,-7.5,21.664182008918882,22.125,21.284454133355723,40.88218072519662
7.5,25.966296062566826,-7.5,20.759880783244675,22.375,22.284790371369105,40.759161699382595
7.5,24.892642775774895,-7.5,19.940829327564487,22.625,22.089805745121296,40.837453431144226
8.5,23.75853978209871,-5.5,19.56680489469723,22.875,19.350035960113086,40.87121354012099
8.5,22.75743673188108,-5.5,19.49468452267592,23.125,15.44420546153413,40.59217888587551
8.5,21.497571033251436,-5.5,19.03242627156203,23.375,12.16454441459653,40.251435303219935
8.5,19.464910930409346,-4.5,,23.625,,40.02540675596904
8.5,17.669677753104104,-4.5,,23.875,,39.57921847971477
,,,,,,38.987431896215796
,,,,,,38.13786768442478
,,,,,,37.23480821207908
,,,,,,36.380929906880496
,,,,,,35.34703048769585
,,,,,,34.19268525100746
,,,,,,33.0991348649859
,,,,,,31.711203998549305
,,,,,,29.585048222519042
,,,,,,27.16565510927307
,,,,,,24.584690908180477
,,,,,,21.977047476831927
,,,,,,19.857900085469048
,,,,,,18.43971467295706
,,,,,,17.468640266964307
,,,,,,16.891326888022192
,,,,,,16.616826734978325
,,,,,,16.616478205905096
,,,,,,17.016959641733457
,,,,,,17.536333892106228
,,,,,,18.182999467631607
,,,,,,18.840651166712227
,,,,,,19.592727996081848
,,,,,,19.89262395578337
,,,,,,19.862309949534772
,,,,,,19.566874135043786
,,,,,,19.235298658930372
,,,,,,18.83075890816797
,,,,,,18.365867898407686
,,,,,,17.765388547713034
,,,,,,17.148483639888475
,,,,,,16.34725028885046
