mlat_n,tec_n,mlat_s,tec_s,mlt,asy
11.5,54.794188580281904,-2.5,,13.125,
10.5,55.11694049064492,-2.5,,13.375,
10.5,56.383258061461085,-2.5,,13.625,
10.5,57.67949073532004,-12.5,50.18367735718468,13.875,13.898745068765017
11.5,57.4286999500042,-13.5,51.25080313067063,14.125,11.369019261612928
11.5,56.89523281585787,-13.5,52.39364659299055,14.375,8.237958422150045
9.5,56.09879769048594,-13.5,51.75126713879198,14.625,8.062175129103377
8.5,57.4237938709798,-13.5,51.17418427684477,14.875,11.509624213496874
7.5,,-14.5,52.845092017610156,15.125,
8.5,56.29587281040552,-14.5,51.82530761827402,15.375,8.269545660538624
7.5,,-1.5,,15.625,
11.5,54.26872973189275,-1.5,,15.875,
10.5,53.31268428905837,-6.5,,16.125,
10.5,53.32989711096763,-5.5,,16.375,
11.5,52.37033620826401,-6.5,,16.625,
11.5,51.53973455909386,-6.5,,16.875,
11.5,49.90575599528296,-7.5,,17.125,
11.5,47.80209697443761,-7.5,,17.375,
11.5,47.456556695239414,-8.5,44.50674589245267,17.625,6.4151911029379045
11.5,47.10311449360912,-11.5,43.843190590782406,17.875,7.168897955341325
10.5,44.85975212115636,-11.5,43.547743040657,18.125,2.968094680429478
11.5,42.92677190089398,-12.5,42.55591142779956,18.375,0.8676856145668971
12.5,42.306622292946514,-13.5,41.29094470184636,18.625,2.4299214142522163
12.5,41.40482738914089,-13.5,41.39482470070424,18.875,0.024161184701105152
12.5,41.15899665336208,-13.5,41.245215331927284,19.125,-0.20925794079699325
12.5,39.9392944883676,-13.5,42.98895412803039,19.375,-7.35493559925432
12.5,39.48086917259176,-13.5,41.4049474148815,19.625,-4.757517012167296
12.5,39.00632764981412,-13.5,40.13741446609379,19.875,-2.8583101734642913
12.5,38.8355784965647,-12.5,39.300083660090415,20.125,-1.188970953095458
12.5,37.92803295847379,-13.5,37.58867407707224,20.375,0.8987650408056429
11.5,36.940678732195245,-12.5,36.34223740819808,20.625,1.6332355629808388
11.5,36.304073583666685,-12.5,35.781135936354154,20.875,1.4508875004859114
11.5,36.61218586476426,-12.5,34.438331812307894,21.125,6.119178645077941
10.5,36.938108078101386,-11.5,33.168549310500424,21.375,10.753782616410493
10.5,37.507467477309746,-12.5,31.68622833278085,21.625,16.825923449748664
10.5,36.63439520614309,-11.5,30.61111175015931,21.875,17.914307523617428
9.5,36.56933638661622,-10.5,29.676585562849016,22.125,20.80958531764489
9.5,36.3205292290347,-9.5,27.95091511300155,22.375,26.044580767446877
8.5,34.870930706759935,-8.5,27.09612835442207,22.625,25.09333981676155
8.5,33.600082471391914,-7.5,,22.875,
8.5,30.628316707288693,-8.5,25.805718711018713,23.125,17.091097457494637
8.5,28.401954578717763,-8.5,24.826672871310603,23.375,13.433679877482
8.5,26.201758130218412,-8.5,23.620360186153633,23.625,10.362457604362865
8.5,23.674327836575767,-5.5,,23.875,
