index,alt,gps_time,lat,lon,qualflg,xpos,xpos_err,xvel,xvel_err,ypos,ypos_err,yvel,yvel_err,zpos,zpos_err,zvel,zvel_err,mlt
2013-03-16 06:16:00,468127.90808159206,416686560,-49.790913473883435,-89.89675633647222,0,7978.75173908843,0.004447225066799,-112.071521506579,3.39573279108279e-06,-4427858.23386404,0.0054318339909316,-5808.43021446751,9.14789802535965e-06,-5205314.15795135,0.0053084610123194,4937.05739929355,7.63981878632937e-06,19.310017115968865
2013-03-16 16:16:00,446958.35958841536,416722560,78.12316064898761,-63.82781050162145,0,621420.1786368861,0.0042932974155415,3763.34779098344,6.95626841171132e-06,-1264441.47310807,0.0053575504536722,-6464.80882834612,1.03546315018905e-05,6657170.89219776,0.0058190906332317,-1585.03691885148,6.359484265585721e-06,6.931632447414064
2013-03-16 16:17:00,445992.02000343613,416722620,74.28722216841378,-62.91299489577602,0,843960.037119977,0.0042617116658887,3651.96767159943,6.45002619171583e-06,-1650165.31039982,0.0053082668530002,-6387.64875560371,9.50267674336352e-06,6547023.3858161,0.0057232654313549,-2085.1857925058,6.30591329813947e-06,7.010333476861305
2013-03-16 16:18:00,444947.3996512303,416722680,70.44531729179751,-62.44666461039513,0,1059342.47281098,0.004228419355081,3524.89843908119,6.22179023013232e-06,-2030361.14410083,0.0052491021794395,-6280.58460223572,9.1444686563179e-06,6407134.50227919,0.0056432633749768,-2576.0406648419,6.45275088549589e-06,7.059149365731723
2013-03-16 16:19:00,443838.76941366494,416722740,66.59901621059923,-62.20813933708499,0,1266650.45775078,0.0041912850298688,3382.96156255285,6.2708900521169e-06,-2403243.82693036,0.0051749115058523,-6143.94356575419,9.3208824055775e-06,6238129.06540422,0.0055755560618447,-3055.36924850443,6.8427473550858e-06,7.092791834666364
2013-03-16 16:20:00,442682.49724558555,416722800,62.7488733929502,-62.10097903803596,0,1465018.14893534,0.0041528603138537,3227.04095343976,6.55170036420291e-06,-2767052.12610563,0.005091268853981,-5978.19506999027,9.96582352797258e-06,6040764.43626758,0.0055183022091632,-3520.98761034092,7.509115599150429e-06,7.117689915099993
2013-03-16 16:21:00,441496.72602969036,416722860,58.895084353522755,-62.07634978745329,0,1653634.52122861,0.0041169734635788,3058.07951106842,5.87761328401573e-06,-3120057.17250148,0.005010939726345,-5783.94828874693,8.775085436942299e-06,5815927.3334619,0.0054674256074541,-3970.76915313345,7.188368212311789e-06,7.137098893311233
2013-03-16 16:22:00,440301.07661829144,416722920,55.03771270659282,-62.10686877424437,0,1831746.80600384,0.0040785889108238,2877.07532907531,5.441190591956e-06,-3460570.83165587,0.004925784839455,-5561.95180626363,7.97687944821931e-06,5564630.12676964,0.0054103237777055,-4402.65393925889,7.14877430108291e-06,7.152843977058426
2013-03-16 16:23:00,439116.2872103341,416722980,51.176784256438765,-62.175981055360644,0,1998663.62433575,0.0040335105215003,2685.07557035141,5.25420070650277e-06,-3786954.00329047,0.0048249613618129,-5313.0906048226,7.64322424023016e-06,5288006.49209375,0.0053385885168138,-4814.66000124167,7.50513435113462e-06,7.1660285121743765
2013-03-16 16:24:00,437963.77920390107,416723040,47.312332238311576,-62.2730779526839,0,2153757.75210533,0.0039815256305209,2483.17075667697,5.28886771193617e-06,-4097624.680519369,0.0047065177351134,-5038.38277998954,7.76104873200946e-06,4987306.5038325,0.0052498205894238,-5204.89051543127,8.3079164729623e-06,7.177359422927351
2013-03-16 16:25:00,436865.3102114834,416723100,43.44442099258998,-62.39103629829682,0,2296468.56712419,0.0039257166194316,2272.4894933297,5.486448037639851e-06,-4391065.902889079,0.0045767816431426,-4738.977823031249,8.22887170652141e-06,4663891.26004697,0.0051500047085093,-5571.54301078435,9.525611783328152e-06,7.187311262492149
2013-03-16 16:26:00,435842.66852266993,416723160,39.573158652262414,-62.52488453651856,0,2426304.1989915,0.0038740568098716,2054.19429534551,4.99984405755443e-06,-4665833.563249039,0.0044553415664804,-4416.15428691925,7.30313920461928e-06,4319226.95268346,0.0050526777622417,-5912.91909397384,8.98279921169494e-06,7.196215139639404
2013-03-16 16:27:00,434917.2827066649,416723220,35.698702688727685,-62.67103572615299,0,2542843.37160086,0.0038283692539339,1829.47384173584,4.65870854453479e-06,-4920563.96195976,0.0043470390137682,-4071.312022660089,6.62427794750889e-06,3954878.20206353,0.0049534141129686,-6227.43754500209,8.85008958304259e-06,7.204309852078692
2013-03-16 16:28:00,434109.6818525186,416723280,31.82126314187871,-62.82682571555271,0,2645736.66533905,0.0037862314916406,1599.53387079955,4.452844344852539e-06,-5153980.845556419,0.0042456756588893,-3705.96562206464,6.20219663790562e-06,3572500.89272284,0.0048453548250186,-6513.638089422239,9.23085511468334e-06,7.211772674950236
2013-03-16 16:29:00,433439.163983074,416723340,27.941103694608994,-62.99022309193979,0,2734707.43160867,0.0037470847869974,1365.59364553945,4.357729176237139e-06,-5364902.189415311,0.0041496927780978,-3321.74049648807,6.011533142155559e-06,3173834.71478846,0.0047321482018438,-6770.18925889981,1.01313501946071e-05,7.218738697700785
2013-03-16 16:30:00,432923.48368151486,416723400,24.058539448314033,-63.15963959256716,0,2809552.42702496,0.0037117661920778,1128.87931793047,4.34084056013141e-06,-5552246.619158099,0.0040612908800144,-2920.3642679376,5.9977975759432e-06,2760695.10578404,0.0046308017142275,-6995.89912974276,1.14684426706617e-05,7.225313463505346
