mlat_n,tec_n,mlat_s,tec_s,mlt,asy,mlat_eq
8.5,61.57499490407987,-4.5,,13.125,,5.529718880593698
9.5,62.1206024815125,-4.5,,13.375,,5.825902083337807
9.5,62.07299789204543,-5.5,61.89757043745073,13.625,0.28301468156286214,6.81420366013257
7.5,62.40388193604339,-5.5,62.1606029774582,13.875,0.39060725656133544,8.902567305206482
9.5,62.44902321472589,-7.5,62.58168657199243,14.125,-0.2122092364233378,11.799841712049869
8.5,62.350983375839306,-7.5,63.01257959653513,14.375,-1.0554840736963083,15.06355465109891
8.5,61.815209133040334,-6.5,63.33967732156235,14.625,-2.4361305126907427,18.59481310266697
7.5,61.39262883132791,-6.5,63.3716463655457,14.875,-3.1724105816267825,22.06032600371111
9.5,61.63900423085585,-6.5,62.81602448409786,15.125,-1.8914788183252937,25.29126532311045
8.5,61.91742723827345,-6.5,61.863669149082135,15.375,0.08685993380295148,28.024105179565137
8.5,62.1592994499663,-6.5,61.01800945396077,15.625,1.8530848029740317,30.63602843995334
8.5,62.440034826898575,-5.5,60.03734997551011,15.875,3.9234751056526678,33.08718639193485
8.5,61.94781336888917,-5.5,59.08346060129587,16.125,4.733244018069099,35.32167379582928
8.5,60.93248565329812,-0.5,,16.375,,37.72936714202585
8.5,59.856908175550565,-0.5,,16.625,,39.92984904558712
7.5,58.67834959388905,-0.5,,16.875,,42.28153302919215
6.5,57.40817372113379,-0.5,,17.125,,44.21368337164847
6.5,56.1953641201348,-0.5,,17.375,,45.639567387645236
5.5,54.604762073321865,-6.5,52.78296603281508,17.625,3.392931525110962,47.09815023104734
7.5,53.36837757041608,-6.5,51.3783198587132,17.875,3.79975266150866,48.65165282602116
10.5,55.074671552225844,-7.5,49.09804559284355,18.125,11.474455352948768,50.81587766067436
10.5,57.11412147046216,-9.5,45.89082880839551,18.375,21.791753952955965,52.69346231317171
10.5,57.43303865665746,-9.5,42.05619574209945,18.625,30.911571503157813,54.56297455950564
11.5,57.43970313369216,-11.5,38.9656421192555,18.875,38.325802300618406,55.76407442152734
12.5,60.04450243285128,-12.5,37.055165873266425,19.125,47.35203932336488,57.05112368741908
12.5,63.44699277118429,-13.5,35.731881506433936,19.375,55.889142655866664,58.052611348908556
12.5,65.30505068088289,-13.5,34.67930406519177,19.625,61.26107768254306,59.03475498878184
12.5,65.93259676948317,-13.5,34.18270899379638,19.875,63.42664097887031,59.69071320038631
12.5,67.36092765899215,-13.5,33.89160832710165,20.125,66.11057986041403,60.15148209768926
12.5,68.88987867239065,-14.5,33.1783248948591,20.375,69.97586423474623,60.324996451212826
12.5,69.44274469953244,-14.5,32.42450548022593,20.625,72.67937272083594,60.6264782551969
12.5,68.25215904795355,-15.5,32.08184839805502,20.875,72.09980259058703,60.7095744667411
12.5,64.79881506582745,-15.5,32.03186833588406,21.125,67.67885050238986,60.71748186623036
12.5,61.97672917609635,-15.5,31.802796401579382,21.375,64.35078998032357,60.875490295115455
12.5,59.103018400446174,-15.5,31.245221767273303,21.625,61.667602117005444,61.40901789339756
12.5,56.91174888335511,-15.5,30.11135918848455,21.875,61.59373134029227,61.878694100869886
12.5,54.947423217075375,-15.5,29.45294235128146,22.125,60.41320009483996,61.97421560975995
11.5,52.850913605236265,-15.5,28.88963103315021,22.375,58.627655781078595,61.752317289261164
11.5,50.24166393153854,-14.5,28.59295161228888,22.625,54.92184409071989,61.320765631680054
11.5,48.498982908997036,-39.5,28.693251794044926,22.875,51.3153458794,60.84992473258809
11.5,47.59685799862385,-39.5,28.7871238073451,23.125,49.25046782467913,60.49265828212308
11.5,45.2613661568436,-39.5,28.904887334291043,23.375,44.1076043419335,60.17909216445
11.5,42.7500440564938,-39.5,28.57991728720906,23.625,39.73120551967242,59.80445937081694
11.5,39.748659480516054,-39.5,28.308538498394597,23.875,33.619136026336214,58.93201557052578
,,,,,,58.11334237290064
,,,,,,57.80051367801728
,,,,,,57.43739882962983
,,,,,,56.819146672348936
,,,,,,55.72488014605034
,,,,,,54.410540134557934
,,,,,,52.41659179865334
,,,,,,50.084091928275114
,,,,,,47.766074402804264
,,,,,,44.48579438439934
,,,,,,40.05912382424022
,,,,,,34.70591122898668
,,,,,,30.235820751312765
,,,,,,26.588367330694382
,,,,,,23.627178138259367
,,,,,,21.192389893373473
,,,,,,19.382325481484347
,,,,,,18.230382287231727
,,,,,,16.907388768618887
,,,,,,16.121806343487524
,,,,,,15.266326386541383
,,,,,,14.665527347802497
,,,,,,14.009549422039337
,,,,,,13.578798325778688
,,,,,,13.422004744133751
,,,,,,13.068389965190853
,,,,,,12.568615393492522
,,,,,,11.99240102343963
,,,,,,11.700011830182698
,,,,,,11.381363849019005
,,,,,,10.919136119470295
,,,,,,10.388697074425018
